"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","Related","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated Name","Contributors","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Folio dimensions","Support","Foliation","Collation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Binding condition","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection","Other version(s)","IIIF Manifest URL","delivery","image count","Viscodex"
"","","Sinai, St. Catherine’s Monastery, Arabic 254","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs6zqg%2Fg373d41m/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1xs6zqg","Work","","Troparion","","1732","1732 CE","","","","","","","","","Kamil","","","46 ff.","265.0 g","Codex","210 x 166 x 20 mm","","Paper","","","","","","","","","","","Rubrication|~|Dated","","text","Liturgical texts|~|Hymnals","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 254","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871414 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xs6zqg/manifest","delivery 1","102",""
"","","Sinai, St. Catherine’s Monastery, Arabic 259","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t166z0%2F2v58w474/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1t166z0","Work","Book of Liturgy (Euchologia)","Euchologion","","1601/1700","17th c. CE","","","","","","","","","Kamil","","","119 ff.","251.5 g","Codex","157 x 115 x 27 mm","","Paper","f. 5 lacking","","","","Decorated Greek intials throughout, beginning on f. 15r | Decoration on ff. 16r, 18v, blooming flowers; 17v, spirals","","","","","","Rubrication|~|Marginalia|~|Initial(s), Decorated|~|Decoration, Vegetative","ff. 1–4 rodent damage","text","Liturgical texts","grc|~|ara","right-to-left","Arabic|~|Greek","Naskh|~|Greek minuscule","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 259","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891669 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t166z0/manifest","delivery 1","248",""
"","","Sinai, St. Catherine’s Monastery, Arabic 27","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tm8fdb%2F3g380k4m/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1tm8fdb","Work","Psalter and Odes","Bible. Psalms|~|Bible. Odes|~|Psalter","","1201/1300","13th c. CE","","","","","","","","","Kamil","","","146 ff.","305.3 g","Codex","155 x 110 x 44 mm","","Paper","","","","","","Illegible Arabic written on flaps of cover that wrap onto inside front board","","Papyrus inside front board and in back board with traces of ink","","","Rubrication|~|Marginalia|~|Inscription(s)","First six leaves loose as a unit. Spine detached.","text","Biblical texts|~|Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 27","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891580 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tm8fdb/manifest","delivery 1","302",""
"","","Sinai, St. Catherine’s Monastery, Arabic 270","Ascetica | Commentary  | Mimars","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p85g5s%2Fpb96hh1v/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1p85g5s","Work","Hexaëmeron","Basil, Saint, Bishop of Caesarea, approximately 329-379. Hexaemeron","","1625","1625 CE","","Basil, Saint, Bishop of Caesarea, approximately 329-379|~|Gregory, of Nyssa, Saint, approximately 335-approximately 394|~|John Chrysostom, Saint, -407","","","Hexaëmeron by St. Basil the Great Bishop of Caesarea, continued by his brother St. Gregory ; Ascetica of St. Basil ; Commentary on Psalm 1 by St. Basil ; Mimar by St. John Chrysostom","","","","Kamil","","","469 ff.","1672.9 g","Codex","215 x 171 x 84 mm","","Paper","","","","","Illustration of a figure on f. 245r | Geometric decoration on f. 469r","","","","","","Rubrication|~|Dated|~|Marginalia|~|Decoration, Geometric|~|Illustration(s)","","text","Theological works|~|Apophthegmata|~|Commentaries","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 270","Old Collection","https://www.loc.gov/item/00279384660-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p85g5s/manifest","delivery 1","948",""
"","","Sinai, St. Catherine’s Monastery, Arabic 272","Commentary on the Liturgy of St. Basil","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh4qf2%2Fjj553f6p/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1jh4qf2","Work","","","","1101/1200 ","12th c. CE","","","","","","","","","Kamil","","","70 ff.","430.2 g","Codex","216 x 149 x 42 mm","","Paper","","","","","Decorated Greek initials throughout","","","","","","Rubrication|~|Marginalia|~|Initial(s), Decorated","","text","Theological works|~|Commentaries","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 272","Old Collection","https://www.loc.gov/item/00279384684-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jh4qf2/manifest","delivery 1","150",""
"","","Sinai, St. Catherine’s Monastery, Arabic 277","Five Mimars by St. Gregory the Theologian","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr3zrs%2Fbb85sv5b/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1dr3zrs","Work","","","","1101/1200","12th c. CE","","Gregory, of Nazianzus, Saint","","","","","","","Kamil","","","78 ff.","202.1 g","Codex","172 x 150 x 22 mm","","Paper","","","","","","","","","","","Rubrication|~|Marginalia","f. 46 ripped","text","Theological works|~|Mimars","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 277","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003870997 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dr3zrs/manifest","delivery 1","168",""
"","","Sinai, St. Catherine’s Monastery, Arabic 288","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903732%2F8755sr6s/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1903732","Work","Commentary on the Gospel of St. Matthew by St. John Chrysostom, Part II","John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew","","1213","1213 CE","","John Chrysostom, Saint, -407","","","","Colophon on f. 153v","","","Kamil","","","154 ff.","1509.2 g","Codex","268 x 205 x 66 mm","","Paper","","","","","","Inscription on f. 1r","","","","","Rubrication|~|Dated|~|Marginalia|~|Colophon|~|Inscription(s)","","text","Theological works|~|Commentaries","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 288","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003890962 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1903732/manifest","delivery 1","318",""
"","","Sinai, St. Catherine’s Monastery, Arabic 29","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1252nhk%2F0v81z73z/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1252nhk","Work","Psalter (uncomplete)","Bible. Psalms|~|Psalter","","1101/1200","12th c. CE","","","","","","","","","Kamil","","","133 ff.","245.1 g","Codex","142 x 120 x 38 mm","","Paper","f. 62 lacking","","","","Geometric decoration on f. 25r","","","","","","Rubrication|~|Marginalia|~|Decoration, Geometric","Rodent damage on all edges and many leaves. Both covers and some leaves loose and brittle.","text","Biblical texts|~|Liturgical texts","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 29","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891582 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1252nhk/manifest","delivery 1","236",""
"","","Sinai, St. Catherine’s Monastery, Arabic 298","Commentary on the Epistle to the Romans by St. John Chrysostom","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1572gcb%2Fbd45z88h/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1572gcb","Work","","","","1235","1235 CE","","John Chrysostom, Saint, -407","","","","","","","Kamil","","","224 ff.","1178.2 g","Codex","224 x 162 x 98 mm","","Paper","ff. 101 to 111, 138, 223 to 234, and 236 to 337 lacking","","","","","","","","","","Rubrication|~|Dated","Suffers from damp stain throughout. ff. 54 and 55 were originally stuck together, forcibly opened, and now part of f. 54 adheres to f. 55. Does not open from ff. 189 to 197 all the way to the gutter due to water damage.","text","Theological works|~|Commentaries","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 298","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871006 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1572gcb/manifest","delivery 1","458",""
"","","Sinai, St. Catherine’s Monastery, Arabic 3","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t1r0h%2Fcx06nb17/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z16t1r0h","Work","","Bible. Pentateuch|~|Bible. Old Testament","","1358","1358 CE","","","","","","","بسم الله الرّحمٰن الرّحيم نبتدي بعون الله تعالیٰ بكتب","تمّ سْفر يشوع ابن نون تلميذَ مُوسیٰ. و مانح العطايا و غافر الخطايا و مجزل الخيرات و سابغ النّعم المجد و الاكرام الی الدّهر […]. اللّهم سامح القاري و السّامع و الكاتب و القاني […].","Kamil","","","373 ff.","2219.5 g","Codex","251 x 185 x 91 mm","","Paper","","","","","Red border on ff. 330v, 331r","","","","","","Rubrication|~|Marginalia|~|Dated|~|Border(s), Decorative","","text","Biblical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 3","Old Collection","https://www.loc.gov/item/00279385743-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16t1r0h/manifest","delivery 1","756",""
"","","Sinai, St. Catherine’s Monastery, Arabic 319","Works of St. John Damascene","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k0f3s%2F17766r9z/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z11k0f3s","Work","","","","1201/1300","13th c. CE","","John, of Damascus, Saint","","","Theological discourses beginning with discourse 21 and ending with discourse 106 on Iconoclasts etc.; followed by treatise on Logic which ends in chapter 47","","","","Kamil","","","359 ff.","1381.6 g","Codex","232 x 158 x 72 mm","","Paper","","","","","","","","","","","Rubrication|~|Marginalia","Front and back boards lacking. First lead and last quires loose.","text","Theological works|~|Apophthegmata","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 319","Old Collection","https://www.loc.gov/item/0027938409A-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11k0f3s/manifest","delivery 1","724",""
"","","Sinai, St. Catherine’s Monastery, Arabic 327","Miscellaneous treatises","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ws9xjn%2F3j303867/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ws9xjn","Work","","","","1292","1292 CE","","Basil, Saint, Bishop of Caesarea, approximately 329-379|~|John Chrysostom, Saint, -407|~|Macarius, the Egyptian, Saint, active 4th century|~|Gregory, of Nazianzus, Saint","","","Miscellaneous treatises by SS. Maximus Thalassius, Basil, John Chrysostom, Gregory the Theologian, Carpatheus (Hundred chapters addressed to the Monks of India), Macarius Bishop of Mt. Sinai, and other anonymous discourses","","","","Kamil","","","173 ff.","901.0 g","Codex","220 x 160 x 50 mm","","Paper","ff. 15 to 19 lacking","","","","Ornate headpieces on f. 2v, red and green triangle motif with leaves in the center, elevated cross, palmettes on the corners; f. 67v, volutes with flowers in the center, branches, palmettes on the corners, two elevated crosses; f. 94v, geometric motif with palmettes and elevated volutes | Headpieces on f. 15r, chain motif with palmettes; f. 36r, volutes with leaves, palmettes on the corners; f. 53r, triangle motif with fleur de lis | Minor geometric headpieces on ff. 73v, 79r, 85v, 136v | Minor vegetative headpiece on f. 126v, red leaf","","","","","","Rubrication|~|Dated|~|Headpiece(s)|~|Decoration, Geometric|~|Decoration, Vegetative","","text","Theological works|~|Apophthegmata","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 327","Old Collection","https://www.loc.gov/item/00279385330-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ws9xjn/manifest","delivery 1","372",""
"","","Sinai, St. Catherine’s Monastery, Arabic 328","Miscellaneous treatises | Mimars","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s195rq%2Fsh971p6b/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1s195rq","Work","","","","1816","1816 CE","","Isaac, Bishop of Nineveh, active 7th century|~|Cassian, John, approximately 360-approximately 435|~|Simeon Stylites, Saint, 380-459","","","Treatises by St. Maximus ; Epistle of St. Cassian ; Mimars of SS. Isaac the Syrian and Simeon Stylite ; Apophthegmata derived from the teachings of the Monks of Scetis","Colophon on f. 1","","","Kamil","","","262 ff.","198.5 g","Codex","220 x 165 x 60 mm","","Paper","","","","","Minor geometric headpiece on f. 56v","","","","","","Rubrication|~|Dated|~|Marginalia|~|Colophon|~|Headpiece(s)|~|Decoration, Geometric","","text","Theological works|~|Apophthegmata","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 328","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871018 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s195rq/manifest","delivery 1","554",""
"","","Sinai, St. Catherine’s Monastery, Arabic 337","Mimars of St. John Climax","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n88f1d%2Fw396bw6k/full/!200,200/0/default.jpg","","individuals","ark:/21198/z1bk2gmg","ark:/21198/z1n88f1d","Work","","","","1622","1622 CE","","John, Climacus, Saint, active 6th century","","","","","","","Kamil","","","306 ff.","1229.5 g","Codex","218 x 172 x 60 mm","","Paper","Inside back board foliated as 307[r]","","",""," Rosette on front board inside","Arabic inscriptions on inside front board | Cursive Greek(?) inscriptions on inside back board","","Flap binding","","","Rubrication|~|Dated|~|Marginalia|~|Decoration, Geometric|~|Inscription(s)","","text","Theological works|~|Mimars","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 337","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003890969 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n88f1d/manifest","delivery 1","625",""
"","","Sinai, St. Catherine’s Monastery, Arabic 345","Mimars and Discourses","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh7p9p%2F6v39hs2c/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1hh7p9p","Work","","","","1386","1386 CE","","Isaac, Bishop of Nineveh, active 7th century|~|John Chrysostom, Saint, -407|~|John, of Karpathos, Saint, active 7th century?","Athanasius, Saint, Patriarch of Alexandria, -373|~|Antiochus, of Sulcis, Saint, active 1st century-2nd century","","Mimars of St. Isaac the Syrian ; Mimars of St. John Chrysostom ; The Teachings of Anba Isaiah the Monk ; The Hundred chapters from St. John Carpatheus to the Monks of India ; The debate of St. Athanasius and St. Antiochus","","","","Kamil","","","254 ff.","1626.0 g","Codex","230 x 156 x 110 mm","","Paper","A tipped-in tab between ff. 252 and 253 bears the foliation ""254"" on its verso","","","","","","","","","","Rubrication|~|Dated","","text","Theological works|~|Mimars","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 345","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871023 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hh7p9p/manifest","delivery 1","522",""
"","","Sinai, St. Catherine’s Monastery, Arabic 346","Mimars | Martyrdoms","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr6xp9%2Ffr60hf50/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1cr6xp9","Work","","","","1177","1177 CE","","","","","Various Mimars ; Martyrdom of SS. Sergius and Bacchus","","","","Kamil","","","334 ff.","1684.1 g","Codex","244 x 172 x 86 mm","","Paper","","","","","Minor geometric headpieces on ff. 1r, 252v","","","","","","Rubrication|~|Dated|~|Marginalia|~|Headpiece(s)","","text","Theological works|~|Mimars","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 346","Old Collection","https://www.loc.gov/item/0027938538A-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cr6xp9/manifest","delivery 1","678",""
"","","Sinai, St. Catherine’s Monastery, Arabic 351","Mimars and Varia","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18065z8%2Fjx01ds75/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z18065z8","Work","","Bible. Chronicles","","1201/1635","13th c. CE","","Isaac, Bishop of Nineveh, active 7th century|~|John Chrysostom, Saint, -407|~|Nilus, of Ancyra, Saint, -approximately 430","","","Mimars of St. Isaac the Syrian ; An anonymous treatise on Monas­ticism ; Apophthegmata ; Epistle of St. John Chrysostom to Theodore who fell and abjured monasticism ; Mimar by St. John Chrysostom ; Description of the massacre of the Monks of Mt. Sinai by Nilus Monk of Ancyra ; Chronicles 1-11","","","","Kamil","","","372 ff.","1385.7 g","Codex","220 x 172 x 74 mm","","Paper","","","","","Decoration on f. 177v","","","","","","Rubrication|~|Marginalia|~|Decoration, Geometric","","text","Theological works|~|Mimars|~|Biblical texts|~|Apophthegmata","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 351","Old Collection","https://www.loc.gov/item/00279385433-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18065z8/manifest","delivery 1","766",""
"","","Sinai, St. Catherine’s Monastery, Arabic 352","Mimars, Martyrdoms, and other Treatises","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b44n8%2Fnz99jz94/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z14b44n8","Work","","","","1201/1300","13th c. CE","","Isaac, Bishop of Nineveh, active 7th century|~|John, of Damascus, Saint|~|Simeon Stylites, Saint, 380-459|~|John, Climacus, Saint, active 6th century|~|Cassian, John, approximately 360-approximately 435|~|Anṭākī, ʻAbd Allāh ibn al-Faḍl, -approximately 1052","","","Mimars by St. Isaac the Syrian ; Martyrdom of St. Demetrius ; Mimar by Nilus ; Short Creed derived from the works of the Fathers by Abd Allah ibn al-Fadl ; Constitution of the Orthodox Faith by St. John Damas­cene ; Treatises by SS. John Bishop of Thessalonica, Nilus, Simeon Stylite, Cassian and John Climax |~| Table on f. 322v","","","","Kamil","","","337 ff.","2356.7 g","Codex","256 x 179 x 101 mm","","Paper","f. 257 repeated. f. 305 lacking","","","","Decoration on f. 49r, cross shape with vines (in pencil); f. 118r, fleur de lis in light blue and red | Minor geometric headpieces on ff. 118r, 143v, with fleur de lis; f. 126v, with fleurons; and throughout | Ornate headpieces on ff. 139r, 162r, fleur de lis, volutes and vines with leaves, in light blue and red; f. 139r, blue volutes with flowers and leaves, fluerons on the edges","","","","","","Rubrication|~|Marginalia|~|Headpiece(s)|~|Decoration, Vegetative|~|Decoration, Geometric","","text","Theological works|~|Mimars","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 352","Old Collection","https://www.loc.gov/item/00279385445-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14b44n8/manifest","delivery 1","686",""
"","","Sinai, St. Catherine’s Monastery, Arabic 37","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn4c44%2Fqm71zn8n/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1rn4c44","Work","","Bible. Psalms|~|Psalter","","1231","1231 CE","","","","","Psalms 13 to 134 preceded by two Mimars and an incomplete Life of St. Theodore the Martyr | Some of the texts are in Coptic","","بسم الاب و الابن و الرّوح القدس هذه قصّة","","Kamil","","","127 ff.","486.0 g","Codex","178 x 142 x 48 mm","","Paper","","","","","Geometric decoration on f. 69v","","","","","","Rubrication|~|Marginalia|~|Dated|~|Decoration, Geometric","Paper fragile and stained. Sections with reinforcing thread that prevents easy opening. The leaves making up the front board have been pried open.","text","Biblical texts|~|Liturgical texts","grc|~|cop|~|ara","right-to-left","Arabic|~|Greek|~|Coptic","Naskh|~|Greek majuscule","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 37","Old Collection","https://www.loc.gov/item/00279385925-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rn4c44/manifest","delivery 1","264",""
