"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated name","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","IIIF Manifest URL","delivery","image count"
"","","St. Catherine’s Monastery, Sinai Arabic 253","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1989rrt%2Fq100cs7n/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1989rrt","Work","Sticherarion and Canons","Sticherarion","","1201/1300","13th c.","","","","","","","","Kamil","","","146 ff.","870.4 g","codex","190 x 147 x 67.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 253","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871413/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1989rrt/manifest","6.2","307"
"","","St. Catherine’s Monastery, Sinai Arabic 256","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h911w%2Fdh78rm59/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z15h911w","Work","","Troparion","","1201/1300","13th c.","","","","","","","","Kamil","","","151 ff.","419.3 g","codex","175 x 138 x 44.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 256","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871415/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz15h911w/manifest","6.2","312"
"","","St. Catherine’s Monastery, Sinai Arabic 257","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8878%2Ffp66f479/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z11r8878","Work","","Octoechos","","1601/1700","17th c.","","","","","","","","Kamil","","","146 ff.","650 g","codex","215 x 161 x 35.0 mm","Paper","","all text inside table"," Some calligraphy","","","","","","","","text","Liturgical texts|~|Hymnals","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 257","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891668/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz11r8878/manifest","6.2","304"
"","","St. Catherine’s Monastery, Sinai Arabic 258","Liturgical miscellany","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x07rqf%2Ffk189b33/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1x07rqf","Work","","","","1201/1300","13th c.","","","","Liturgical miscellany containing Baptism and Marriage Prayers, Genuflection Service, and an Ordo for Blessing Nile water before Pentecost","","","","Kamil","","","257 ff.","1321.7 g","codex","225 x 154 x 100.0 mm","Paper","follows greek foliation left to right","","","","","","","","","","text","Liturgical texts","ara|~|grc","","Arabic|~|Greek","Naskh|~|Greek minuscule","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 258","Sinai. Old Collection","https://www.loc.gov/item/00279384635-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x07rqf/manifest","6.2","524"
"","","St. Catherine’s Monastery, Sinai Arabic 300","Commentary on the Epistle to the Romans by St. John Chrysostom","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s7710h%2F03568z8p/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1s7710h","Work","","","","1201/1300","13th c.","","John Chrysostom, Saint, -407","","","","","","Kamil","","","161 ff.","807.7 g","codex","241 x 175 x 57.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Commentaries","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 300","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871008/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s7710h/manifest","6.2","332"
"","","St. Catherine’s Monastery, Sinai Arabic 305","Homilies of St. John Chrysostom, to be read on Sundays in the Coptic Church","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng68c4%2Fd048k70w/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ng68c4","Work","","","","1044","1044","","John Chrysostom, Saint, -407","","","","","","Kamil","","","212 ff.","888.1 g","codex","218 x 159 x 56.0 mm","Paper","","","","","","","","","Dated","","text","Theological works|~|Apophthegmata","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 305","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871011/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ng68c4/manifest","6.2","434"
"","","St. Catherine’s Monastery, Sinai Arabic 306","Discourses by St. John Chrysostom (34 discourses)","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht471p%2Fzx367b4p/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ht471p","Work","","","","1601/1700","17th c.","","John Chrysostom, Saint, -407","","","","","","Kamil","","","370 ff.","1030.4 g","codex","210 x 164 x 54.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 306","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871012/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ht471p/manifest","6.2","751"
"","","St. Catherine’s Monastery, Sinai Arabic 310","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d23gc5%2F3r537n7f/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1d23gc5","Work","Epistles of St. Paul to the Romans, the Corinthians I—II, and the Galatians","Bible. Epistles of Paul","","1001/1100","11th c.","","","","","","","","Kamil","","","96 ff.","229.1 g","codex","243 x 157 x 21.0 mm","Paper","","","","","","","","","","","text","Biblical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 310","Sinai. Old Collection","https://www.loc.gov/item/00279384039-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d23gc5/manifest","6.2","196"
"","","St. Catherine’s Monastery, Sinai Arabic 321","Life of Barlaam and Josaphat","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1892qpw%2F0q12pn9g/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1892qpw","Work","","","","1247","1247","","","","","","","","Kamil","","","310 ff.","1237.9 g","codex","192 x 147 x 89.0 mm","Paper","","","","","","","","","Dated","","text","Historical works|~|Hagiographies","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 321","Sinai. Old Collection","https://www.loc.gov/item/00279384076-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1892qpw/manifest","6.2","628"
"","","St. Catherine’s Monastery, Sinai Arabic 325","Mimars and Homilies","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j1zvt%2F1x463z1m/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z14j1zvt","Work","","","","1639","1639","","Theodore, Studites, Saint, 759-826|~|John Chrysostom, Saint, -407","","Teaching and Homilies of St. Theodore, Abbot of the Monastery of Stodion ; Mimars of SS. Ephraem and John Chrysostom","","","","Kamil","","","275 ff.","499.8 g","codex","163 x 121 x 48.0 mm","Paper","","","","","","","","","Dated","","text","Theological works|~|Apophthegmata","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 325","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871017/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz14j1zvt/manifest","6.2","560"
"","","St. Catherine’s Monastery, Sinai Arabic 33","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf4dzj%2Fs434xb1g/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1sf4dzj","Work","Psalter and Odes","Bible. Psalms|~|Bible. Odes|~|Psalter","","1201/1300","13th c.","","","","","","","","Kamil","","","152 ff.","382.2 g","codex","186 x 160 x 45.0 mm","Paper","f.81-87 repeats","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 33","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sf4dzj/manifest","6.2","310"
"","","St. Catherine’s Monastery, Sinai Arabic 339","Mimars of St. John Climax","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s173f%2Fsv83wc3v/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z10s173f","Work","","","","1301/1400","14th c.","","John, Climacus, Saint, active 6th century","","","","","","Kamil","","","276 ff.","1100.2 g","codex","220 x 164 x 51.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 339","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003890970/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz10s173f/manifest","6.2","560"
"","","St. Catherine’s Monastery, Sinai Arabic 341","Mimars of SS. John Climax, John Chrysostom, and Ephraem","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w10qm2%2Fdg34p71m/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1w10qm2","Work","","","","1201/1300","13th c.","","John, Climacus, Saint, active 6th century|~|John Chrysostom, Saint, -407|~|Ephraem, Syrus, Saint, 303-373","","","","","","Kamil","","","283 ff.","1407.5 g","codex","215 x 167 x 105.0 mm","Parchment","","","","","","","","","","f. 265r-266v sewn together","text","Theological works|~|Mimars","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 341","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871021/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w10qm2/manifest","6.2","576"
"","","St. Catherine’s Monastery, Sinai Arabic 342","Mimars of St. John Climax","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r8000g%2F1615hb4s/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1r8000g","Work","","","","1601/1700","17th c.","","John, Climacus, Saint, active 6th century","","","","","","Kamil","","","143 ff.","676 g","codex","229 x 168 x 39.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 342","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871022/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r8000g/manifest","6.2","302"
"","","St. Catherine’s Monastery, Sinai Arabic 344","Mimars of St. John Climax ; Life of St. Barlaam ; Life of St. Mark of Seeds","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk7xks%2F8s198v2d/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1mk7xks","Work","","","","1201/1300","13th c.","","John, Climacus, Saint, active 6th century","","","","","","Kamil","","","216 ff.","1845.7 g","codex","269 x 194 x 75.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 344","Sinai. Old Collection","https://www.loc.gov/item/00279385391-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mk7xks/manifest","6.2","440"
"","","St. Catherine’s Monastery, Sinai Arabic 347","Life of St. Mark of Seeds ; Mimars of St. Isaac the Syrian ; Teach­ings of St. Ephraem","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt75xb%2Fk420t434/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1gt75xb","Work","","","","1223","1223","","Isaac, Bishop of Nineveh, active 7th century","Ephraem, Syrus, Saint, 303-373","","","","","Kamil","","","199 ff.","1364.8 g","codex","258 x 192 x 92.0 mm","Paper","","","","","","","","","Dated","","text","Theological works|~|Mimars","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 347","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003890971/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gt75xb/manifest","6.2","408"
"","","St. Catherine’s Monastery, Sinai Arabic 353","Mimars of SS. Isaac the Syrian, Isaiah and Ephraem ; Teachings of St. Basil ; Life of St. Bios of Scetis","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26f6b%2Frn02682m/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1c26f6b","Work","","","","1201/1300","13th c.","","Isaac, Bishop of Nineveh, active 7th century|~|Ephraem, Syrus, Saint, 303-373","Basil, Saint, Bishop of Caesarea, approximately 329-379","","","","","Kamil","","","415 ff.","1258 g","codex","181 x 147 x 98.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 353","Sinai. Old Collection","https://www.loc.gov/item/00279385457-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c26f6b/manifest","6.2","838"
"","","St. Catherine’s Monastery, Sinai Arabic 416","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1795pc8%2Fgn57d88x/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1795pc8","Work","Synaxarium, Part I","Synaxarion","","1201/1300","13th c.","","","","","","","","Kamil","","","206 ff.","2643.8 g","codex","300 x 244 x 90.0 mm","Paper","","","","Headpieces on f. 1v, 4r","","","","","Headpiece(s)","","text","Liturgical texts|~|Hagiographies","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 416","Sinai. Old Collection","https://www.loc.gov/item/00279390829-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1795pc8/manifest","6.2","422"
"","","St. Catherine’s Monastery, Sinai Arabic 428","Lives of Saints ; Mimars","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j4xnj%2F31328s0n/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z13j4xnj","Work","","","","901/1000","10th c.","","Ephraem, Syrus, Saint, 303-373|~|John Chrysostom, Saint, -407|~|Heraclius, Emperor of the East, approximately 575-641","","Mimars of SS. Ephraem and John Chrysostom ; Lives of Saints and Martyrdoms including those of SS. Serapion, Mark, Al-Harith of Nagran and Zacharias the Patriarch from the land of Babylon ; An account of the reinstatement of the Cross of the Passion of Our Lord in Jerusalem by Emperor Heraclius","","","","Kamil","","","347 ff.","1200.7 g","codex","174 x 142 x 97.0 mm","Parchment","","","","","","","","","","","text","Theological works|~|Mimars","ara","right-to-left","Arabic","Kufic","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 428","Sinai. Old Collection","https://www.loc.gov/item/00279390908-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz13j4xnj/manifest","6.2","702"
"","","St. Catherine’s Monastery, Sinai Arabic 452","Lives of Saints ; Mimars","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4f63%2Fmg64zt8g/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1zs4f63","Work","","","","1201/1300","13th c.","","John Chrysostom, Saint, -407|~|Ephraem, Syrus, Saint, 303-373|~|Isaac, Bishop of Nineveh, active 7th century","","Mimars by SS. John Chrysostom, Isaac, Ephraem and Maximus ; Lives of Saints-namely: SS. Thomas, Marina and Paiesus","","","","Kamil","","","240 ff.","600.1 g","codex","166 x 122 x 67.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 452","Sinai. Old Collection","https://www.loc.gov/item/0027939107A-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zs4f63/manifest","6.2","488"
"","","St. Catherine’s Monastery, Sinai Arabic 46","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np3p4w%2Fjq455013/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1np3p4w","Work","Psalter and Odes","Bible. Psalms|~|Bible. Odes|~|Psalter","","1201/1300","13th c.","","","","","","","","Kamil","","","216 ff.","776.2 g","codex","166 x 144 x 82.0 mm","Paper","f.206 written as f.106 ; f.212 written as f.112","","","Full page decoration on f. 1v ","","","","","Decoration, Full-page","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 46","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891589/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1np3p4w/manifest","6.2","442"
"","","St. Catherine’s Monastery, Sinai Arabic 461","Martyrdoms and Mimars","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13pjk%2Fhh630t2s/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1v13pjk","Work","","","","901/1000","10th c.","","","","Erased text f. 25av, 25br ; suspected palimpsest 25av","","","","Kamil","","","117 ff.","789.6 g","codex","215 x 179 x 67.0 mm","Parchment","","","","","","","","","","f. 26, 31 sewn together","text","Historical works|~|Hagiographies","ara","right-to-left","Arabic","Kufic","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 461","Sinai. Old Collection","https://www.loc.gov/item/00279391147-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v13pjk/manifest","6.2","238"
"","","St. Catherine’s Monastery, Sinai Arabic 490","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc1n64%2Fv491sz5s/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1qc1n64","Work","The Great Pandectes by St. Nicon","Nikon of the Black Mountain, ca. 1025-ca. 1100. Pandektēs","","1201/1300","13th c.","","","","Contains only chapters 39 to 63","","","","Kamil","","","491 ff.","3183.4 g","codex","278 x 190 x 113.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 490","Sinai. Old Collection","https://www.loc.gov/item/00279391317-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qc1n64/manifest","6.2","990"
"","","St. Catherine’s Monastery, Sinai Arabic 500","Varia","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km0wkr%2F2p256p1z/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1km0wkr","Work","","","","1101/1300","12th c.","","","","Pastoral Epistles followed by books of Jeremiah and the Proverbs of King Salomon ; Arabic text of Proverbs collated in margin with the Coptic version","","","","Kamil","","","292 ff.","715.6 g","codex","185 x 140 x 70.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 500","Sinai. Old Collection","https://www.loc.gov/item/00279390076-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1km0wkr/manifest","6.2","590"
