Shelfmark,References,References with page numbers,Descriptive title,AltTitle.uniform,Collection,delivery
Sinai Arabic 314,Kamil,,Works of St. Ephraem the Syrian ; Works of Bishop Dionysius the Areopagite,,Old Collection,delivery 4.3
Sinai Arabic 332,Kamil,,Mimars of St. John Climax,,Old Collection,delivery 4.3
Sinai Arabic 338,Kamil,,Mimars of St. John Climax,,Old Collection,delivery 4.3
Sinai Arabic 340,Kamil,,Mimars of St. John Climax,,Old Collection,delivery 4.3
Sinai Arabic 371,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 4.3
Sinai Arabic 374,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 4.3
Sinai Arabic 376,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 4.3
Sinai Arabic 399,Kamil,,,Menologion,Old Collection,delivery 4.3
Sinai Arabic 415,Kamil,,,Synaxarion,Old Collection,delivery 4.3
Sinai Arabic 418,Kamil,,,Synaxarion,Old Collection,delivery 4.3
Sinai Arabic 421,Kamil,,,Synaxarion,Old Collection,delivery 4.3
Sinai Arabic 437,Kamil,,"Teachings of SS. John Chrysostom, Basil, Ephraem, Zosima and the rest of the Holy Fathers",,Old Collection,delivery 4.3
Sinai Arabic 440,Kamil,,"Lives of Saints, Martyrdoms, Mimars, Commentaries, Apophthegmata and Theological Treatises",,Old Collection,delivery 4.3
Sinai Arabic 447,Kamil,,Varia,"John Chrysostom, Saint, -407. Homilies on Genesis",Old Collection,delivery 4.3
Sinai Arabic 482,Kamil,,Varia,,Old Collection,delivery 4.3
Sinai Arabic 493,Kamil,,The Book of the Master and the Pupil (twenty-two discourses),,Old Collection,delivery 4.3
Sinai Arabic 5,Kamil,,Commentary on Exodus,,Old Collection,delivery 4.3
Sinai Arabic 6,Kamil,,Commentary on Exodus,,Old Collection,delivery 4.3
Sinai Arabic 61,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 4.3
Sinai Arabic 70,Kamil,,,Bible. Gospels,Old Collection,delivery 4.3
Sinai Arabic 78,Kamil,,,Bible. Gospels,Old Collection,delivery 4.3
Sinai Arabic 90,Kamil,,,Bible. Gospels,Old Collection,delivery 4.3
Sinai Arabic 96,Kamil,,,Lectionary,Old Collection,delivery 4.3
Sinai Arabic 505,Kamil,,Varia,,Old Collection,delivery 4.4
Sinai Arabic 547,Kamil,,Paradise of the Fathers,,Old Collection,delivery 4.4
Sinai Arabic 563,Kamil,,Paradise of the Fathers,,Old Collection,delivery 4.4
Sinai Arabic 579,Kamil,,Long treatise on Logic,,Old Collection,delivery 4.4
Sinai Arabic 589,Kamil,,,Bible. Ezra|~|Bible. Baruch,Old Collection,delivery 4.4
Sinai Arabic 595,Kamil,,,Prophetologion,Old Collection,delivery 4.4
Sinai Arabic 597,Kamil,,,Bible. Daniel|~|Bible. Proverbs,Old Collection,delivery 4.4
Sinai Syriac 110,Kamil,,,Menologion,Old Collection,delivery 4.4
Sinai Syriac 18,Kamil,,,Menologion,Old Collection,delivery 4.4
Sinai Syriac 185,Kamil,,,Menologion,Old Collection,delivery 4.4
Sinai Syriac 187,Kamil,,Parakletiki,,Old Collection,delivery 4.4
Sinai Syriac 19,Kamil,,Sermons on Song of Songs,,Old Collection,delivery 4.4
Sinai Syriac 192,Kamil,,,Typikon,Old Collection,delivery 4.4
Sinai Syriac 193,Kamil,,Services,,Old Collection,delivery 4.4
Sinai Syriac 194,Kamil,,,Lectionary,Old Collection,delivery 4.4
Sinai Syriac 196,Kamil,,Services,,Old Collection,delivery 4.4
Sinai Syriac 197,Kamil,,,Octoechos,Old Collection,delivery 4.4
Sinai Syriac 1A,Kamil,,,Synaxarion,Old Collection,delivery 4.4
Sinai Syriac 20,Kamil,,,Lectionary,Old Collection,delivery 4.4
Sinai Syriac 203,Kamil,,Services,,Old Collection,delivery 4.4
Sinai Syriac 212,Kamil,,,Menologion,Old Collection,delivery 4.4
Sinai Syriac 213,Kamil,,,Lectionary,Old Collection,delivery 4.4
Sinai Syriac 218,Kamil,,,Lectionary,Old Collection,delivery 4.4
Sinai Syriac 22,Kamil,,,Menologion,Old Collection,delivery 4.4
Sinai Syriac 230,Kamil,,,Troparion,Old Collection,delivery 4.4
Sinai Syriac 235,Kamil,,Services,,Old Collection,delivery 4.4
Sinai Syriac 270,Kamil,,Services,,Old Collection,delivery 4.4
Sinai Syriac 279,Kamil,,,Bible. Maccabees,Old Collection,delivery 4.4
Sinai Syriac 28,Kamil,,,Bible. Kings,Old Collection,delivery 4.4
Sinai Syriac 2B,Kamil,,,Evangelion,Old Collection,delivery 4.4
Sinai Syriac 31,Kamil,,"Mimars by SS. John, Jacob, and others",,Old Collection,delivery 4.4
Sinai Syriac 4,Kamil,,,Triodion,Old Collection,delivery 4.4
Sinai Syriac 44,Kamil,,,Menologion,Old Collection,delivery 4.4
Sinai Syriac 46,Kamil,,Lives of Egyptian Fathers,,Old Collection,delivery 4.4
Sinai Syriac 60,Kamil,,Treatises by St. Euagrius,,Old Collection,delivery 4.4
Sinai Syriac 7,Kamil,,,Evangelion,Old Collection,delivery 4.4
Sinai Syriac 79,Kamil,,,Octoechos,Old Collection,delivery 4.4
Sinai Syriac 82,Kamil,,Lives of Saints,,Old Collection,delivery 4.4
Sinai Syriac 83,Kamil,,Services,,Old Collection,delivery 4.4
Sinai Arabic 1,Kamil,,,Bible. Job|~|Bible. Daniel|~|Bible. Jeremiah|~|Bible. Ezekiel|~|Bible. Old Testament,Old Collection,delivery 5.1
Sinai Arabic 11,Kamil,,Varia,Prophetologion,Old Collection,delivery 5.1
Sinai Arabic 111,Kamil,,,Bible. Gospels,Old Collection,delivery 5.1
Sinai Arabic 140,Kamil,,,Troparion|~|Kontakarion|~|Sticherarion|~|Evangelion|~|Lectionary,Old Collection,delivery 5.1
Sinai Arabic 141,Kamil,,,Evangelion|~|Lectionary,Old Collection,delivery 5.1
Sinai Arabic 155,Kamil,,,Bible. Epistles of Paul|~|Bible. Ecclesiasticus,Old Collection,delivery 5.1
Sinai Arabic 171,Kamil,,,Lectionary,Old Collection,delivery 5.1
Sinai Arabic 180,Kamil,,,Horologion,Old Collection,delivery 5.1
Sinai Arabic 185,Kamil,,,Horologion,Old Collection,delivery 5.1
Sinai Arabic 2,Kamil,,,Bible. Pentateuch|~|Bible. Old Testament,Old Collection,delivery 5.1
Sinai Arabic 211,Kamil,,,Horologion,Old Collection,delivery 5.1
Sinai Arabic 213,Kamil,,,Horologion,Old Collection,delivery 5.1
Sinai Arabic 218,Kamil,,,Horologion,Old Collection,delivery 5.1
Sinai Arabic 219,Kamil,,,Horologion,Old Collection,delivery 5.1
Sinai Arabic 235,Kamil,,Prayers and Mimars,,Old Collection,delivery 5.1
Sinai Arabic 241,Kamil,,Canons and Theotokia,,Old Collection,delivery 5.1
Sinai Arabic 243,Kamil,,,Sticherarion|~|Troparion,Old Collection,delivery 5.1
Sinai Arabic 244,Kamil,,"Canons, Kathismata, Office of Genuflection and Prayers",Lectionary|~|Sticherarion|~|Troparion|~|Psalter|~|Bible. Psalms,Old Collection,delivery 5.1
Sinai Arabic 26,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 5.1
Sinai Arabic 262,Kamil,,"Prayers for the Monks and ill people, Arabic and Syriac",,Old Collection,delivery 5.1
Sinai Arabic 266,Kamil,,,Typikon|~|Lectionary,Old Collection,delivery 5.1
Sinai Arabic 279,Kamil,,Commentary on the Song of Songs by St. Gregory of Nyssa,,Old Collection,delivery 5.1
Sinai Arabic 284,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew",Old Collection,delivery 5.1
Sinai Arabic 320,Kamil,,,Barlaam and Joasaph,Old Collection,delivery 5.1
Sinai Arabic 322,Kamil,,,Barlaam and Joasaph,Old Collection,delivery 5.1
Sinai Arabic 323,Kamil,,,Barlaam and Joasaph,Old Collection,delivery 5.1
Sinai Arabic 34,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 5.1
Sinai Arabic 362,Kamil,,Sayings of St. Dorotheus. Mimars of different saints,,Old Collection,delivery 5.1
Sinai Arabic 363,Kamil,,Sayings of St. Dorotheus. Different Mimars,,Old Collection,delivery 5.1
Sinai Arabic 366,Kamil,,Sayings of St. Dorotheus. Different Mimars,,Old Collection,delivery 5.1
Sinai Arabic 375,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 5.1
Sinai Arabic 381,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 5.1
Sinai Arabic 384,Kamil,,Hundred Problems of St. Barsanuphius ; The Life of St. Bios of Scetis,,Old Collection,delivery 5.1
Sinai Arabic 410A,Kamil,,,Synaxarion,Old Collection,delivery 5.1
Sinai Arabic 410B,Kamil,,,Synaxarion,Old Collection,delivery 5.1
Sinai Arabic 424,Kamil,,Hymns for the Feasts,,Old Collection,delivery 5.1
Sinai Arabic 442,Kamil,,Paradise of the Fathers,,Old Collection,delivery 5.1
Sinai Arabic 45,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 5.1
Sinai Arabic 453,Kamil,,Varia,,Old Collection,delivery 5.1
Sinai Arabic 488,Kamil,,Life of St. Onuphrius. Lives of the forty martyrs of Sebastia,,Old Collection,delivery 5.1
Sinai Arabic 497,Kamil,,Mimar ; Apophthegmata,,Old Collection,delivery 5.1
Sinai Arabic 516,Kamil,,An anonymous history of the wars of King Sapor with the Emperor of Byzantium,,Old Collection,delivery 5.1
Sinai Arabic 521,Kamil,,"Lives of SS. Epiphanius Bishop of Cyprus, and John Chrysostom ; Martyrdom of St. Peter Patriarch of Alexandria",,Old Collection,delivery 5.1
Sinai Arabic 522,Kamil,,"Lives of SS. Elias, Sabas, and John of the Golden Gospel",,Old Collection,delivery 5.1
Sinai Arabic 528,Kamil,,Life of St. John Chrysostom written by George Metropolitan of Alexandria,,Old Collection,delivery 5.1
Sinai Arabic 533,Kamil,,Thirteen miscellaneous tracts and treatises,,Old Collection,delivery 5.1
Sinai Arabic 534,Kamil,,Kontakion and Church readings,,Old Collection,delivery 5.1
Sinai Arabic 537,Kamil,,Martyrdoms ; Mimars,,Old Collection,delivery 5.1
Sinai Arabic 550,Kamil,,Paradise of the Fathers,,Old Collection,delivery 5.1
Sinai Arabic 553,Kamil,,Varia,,Old Collection,delivery 5.1
Sinai Arabic 557,Kamil,,Paradise of the Fathers,,Old Collection,delivery 5.1
Sinai Arabic 562,Kamil,,Prayers,,Old Collection,delivery 5.1
Sinai Arabic 564,Kamil,,Paradise of the Fathers,,Old Collection,delivery 5.1
Sinai Arabic 58,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 5.1
Sinai Arabic 585,Kamil,,Selection of Lives of Saints from the Paradise of the Fathers,,Old Collection,delivery 5.1
Sinai Arabic 601,Kamil,,,Bible. Malachi|~|Bible. Jonah|~|Bible. Micah|~|Bible. Nahum|~|Bible. Habakkuk|~|Bible. Zephaniah|~|Bible. Haggai|~|Bible. Zechariah,Old Collection,delivery 5.1
Sinai Arabic 682,Kamil,,,Euchologion,Old Collection,delivery 5.1
Sinai Arabic 72,Kamil,,,Bible. Gospels,Old Collection,delivery 5.1
Sinai Arabic 76,Kamil,,,Bible. Gospels,Old Collection,delivery 5.1
Sinai Arabic 92,Kamil,,,Bible. Gospels,Old Collection,delivery 5.1
Sinai Arabic 94,Kamil,,,Bible. Gospels,Old Collection,delivery 5.1
Sinai Arabic 95,Kamil,,,Bible. Gospels,Old Collection,delivery 5.1
Sinai Syriac 100,Kamil,,,Lectionary|~|Bible. Epistles|~|Bible. Acts,Old Collection,delivery 5.2
Sinai Syriac 109,Kamil,,,Euchologion,Old Collection,delivery 5.2
Sinai Syriac 113,Kamil,,,Euchologion,Old Collection,delivery 5.2
Sinai Syriac 114,Kamil,,,Euchologion,Old Collection,delivery 5.2
Sinai Syriac 115,Kamil,,,Euchologion,Old Collection,delivery 5.2
Sinai Syriac 117,Kamil,,,Euchologion,Old Collection,delivery 5.2
Sinai Syriac 118,Kamil,,,Sticherarion,Old Collection,delivery 5.2
Sinai Syriac 119,Kamil,,Services,,Old Collection,delivery 5.2
Sinai Syriac 121,Kamil,,,Bible. Psalms,Old Collection,delivery 5.2
Sinai Syriac 122,Kamil,,,Heirmologion,Old Collection,delivery 5.2
Sinai Syriac 123,Kamil,,,Euchologion,Old Collection,delivery 5.2
Sinai Syriac 128,Kamil,,,Bible. Psalms,Old Collection,delivery 5.2
Sinai Syriac 132,Kamil,,,Prophetologion,Old Collection,delivery 5.2
Sinai Syriac 135,Kamil,,,Bible. Gospels,Old Collection,delivery 5.2
Sinai Syriac 136,Kamil,,,Typikon,Old Collection,delivery 5.2
Sinai Syriac 137,Kamil,,Services,,Old Collection,delivery 5.2
Sinai Syriac 140,Kamil,,,Euchologion,Old Collection,delivery 5.2
Sinai Syriac 142,Kamil,,,Horologion,Old Collection,delivery 5.2
Sinai Syriac 146,Kamil,,Services,,Old Collection,delivery 5.2
Sinai Syriac 147,Kamil,,Services,,Old Collection,delivery 5.2
Sinai Syriac 148,Kamil,,,Sticherarion,Old Collection,delivery 5.2
Sinai Syriac 162,Kamil,,,Bible. Psalms,Old Collection,delivery 5.2
Sinai Syriac 199,Kamil,,,Lectionary,Old Collection,delivery 5.2
Sinai Syriac 200,Kamil,,,Evangelion,Old Collection,delivery 5.2
Sinai Syriac 221,Kamil,,,Sticherarion,Old Collection,delivery 5.2
Sinai Syriac 222,Kamil,,,Evangelion,Old Collection,delivery 5.2
Sinai Syriac 224,Kamil,,,Euchologion,Old Collection,delivery 5.2
Sinai Syriac 225,Kamil,,,Bible. Psalms,Old Collection,delivery 5.2
Sinai Syriac 239,Kamil,,,Euchologion,Old Collection,delivery 5.2
Sinai Syriac 241,Kamil,,,Bible. Psalms,Old Collection,delivery 5.2
Sinai Syriac 243,NLI,,,Pentekostarion,Old Collection,delivery 5.2
Sinai Syriac 25,Kamil,,,Sticherarion,Old Collection,delivery 5.2
Sinai Syriac 250,Kamil,,,Sticherarion,Old Collection,delivery 5.2
Sinai Syriac 252,Kamil,,,Pentekostarion,Old Collection,delivery 5.2
Sinai Syriac 263,Kamil,,,Octoechos,Old Collection,delivery 5.2
Sinai Syriac 274,Kamil,,,Sticherarion,Old Collection,delivery 5.2
Sinai Syriac 32,Kamil,,,Evangelion,Old Collection,delivery 5.2
Sinai Syriac 56,Kamil,,"Mimars by SS. John Climax, Jacob and Anastasius of Antioch",,Old Collection,delivery 5.2
Sinai Syriac 74,Kamil,,,Bible. Gospels,Old Collection,delivery 5.2
Sinai Syriac 85,Kamil,,,Menologion,Old Collection,delivery 5.2
Sinai Syriac 9,Kamil,,,"Basil, Saint, Bishop of Caesarea, approximately 329-379. Hexaemeron",Old Collection,delivery 5.2
Sinai Syriac 90,Kamil,,,Menologion,Old Collection,delivery 5.2
Sinai Syriac 92,Kamil,,,Bible. Acts,Old Collection,delivery 5.2
Sinai Syriac 98,Kamil,,,Bible. Psalms,Old Collection,delivery 5.2
Sinai Arabic 115,Kamil,,,Bible. Gospels,Old Collection,delivery 6.1
Sinai Arabic 124,Kamil,,,Lectionary,Old Collection,delivery 6.1
Sinai Arabic 144,Kamil,,,Evangelion,Old Collection,delivery 6.1
Sinai Arabic 146,Kamil,,,Bible. Gospels|~|Bible. Matthew,Old Collection,delivery 6.1
Sinai Arabic 152,Kamil,,,Lectionary,Old Collection,delivery 6.1
Sinai Arabic 159,Kamil,,,Lectionary,Old Collection,delivery 6.1
Sinai Arabic 160,Kamil,,,Lectionary,Old Collection,delivery 6.1
Sinai Arabic 168,Kamil,,,Bible. Acts|~|Bible. Epistles,Old Collection,delivery 6.1
Sinai Arabic 190,Kamil,,,Horologion,Old Collection,delivery 6.1
Sinai Arabic 20,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 6.1
Sinai Arabic 21,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 6.1
Sinai Arabic 220,Kamil,,,Troparion,Old Collection,delivery 6.1
Sinai Arabic 221,Kamil,,,Troparion,Old Collection,delivery 6.1
Sinai Arabic 228,Kamil,,Sayings from the Paradise of the Fathers,Troparion,Old Collection,delivery 6.1
Sinai Arabic 230,Kamil,,,Troparion,Old Collection,delivery 6.1
Sinai Arabic 248,Kamil,,Canons and Prayers,Sticherarion,Old Collection,delivery 6.1
Sinai Arabic 255,Kamil,,"Canons, Office of Genuflection and Prayers",Troparion,Old Collection,delivery 6.1
Sinai Arabic 261,Kamil,,,Euchologion,Old Collection,delivery 6.1
Sinai Arabic 297,Kamil,,Commentary on the Epistle to the Romans by St. John Chrysostom,,Old Collection,delivery 6.1
Sinai Arabic 307,Kamil,,Mimars by St. John Chyrsostom for Lent and some feast days,,Old Collection,delivery 6.1
Sinai Arabic 316,Kamil,,Mimars of St. Ephraem the Syrian ; Canon of Obeisance,,Old Collection,delivery 6.1
Sinai Arabic 318,Kamil,,Works of St. John Damascene,,Old Collection,delivery 6.1
Sinai Arabic 329,Kamil,,Mimars ; Discourses ; Apophthegmata,,Old Collection,delivery 6.1
Sinai Arabic 330,Kamil,,Mimars ; Discourses,,Old Collection,delivery 6.1
Sinai Arabic 350,Kamil,,Mimars of St. Isaac the Syrian,,Old Collection,delivery 6.1
Sinai Arabic 361,Kamil,,Sayings of St. Dorotheus. Mimars of SS. Ephraem and John Chrysostom,,Old Collection,delivery 6.1
Sinai Arabic 377,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 6.1
Sinai Arabic 388,Kamil,,Sayings of SS. Isaiah and Macarius. Mimar by St. Ephraem ; Ascetica by St. Basil,,Old Collection,delivery 6.1
Sinai Arabic 389,Atiya|~|LOC,,,Horologion,Old Collection,delivery 6.1
Sinai Arabic 41,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Horologion|~|Psalter,Old Collection,delivery 6.1
Sinai Arabic 426,Kamil,,Mimar and Varia,,Old Collection,delivery 6.1
Sinai Arabic 445,Kamil,,"Mimars, Lives of Saints, Martyrdoms, Canons, Calendars, and other treatises",,Old Collection,delivery 6.1
Sinai Arabic 467,Kamil,,Paradise of the Fathers,,Old Collection,delivery 6.1
Sinai Arabic 471,Kamil,,Varia,,Old Collection,delivery 6.1
Sinai Arabic 485,Kamil,,Lives of Saints ; Discourses,,Old Collection,delivery 6.1
Sinai Arabic 486,Kamil,,Miscellaneous discourses and Mimars,,Old Collection,delivery 6.1
Sinai Arabic 51,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 6.1
Sinai Arabic 531,Kamil,,Martyrdoms and Lives of Saints ; Mimars,,Old Collection,delivery 6.1
Sinai Arabic 540,Kamil,,Martyrdoms ; Lives of Saints ; Mimars,,Old Collection,delivery 6.1
Sinai Arabic 545,Kamil,,Lives and Martyrdoms of Saints ; Various Treatises,,Old Collection,delivery 6.1
Sinai Arabic 559,Kamil,,Paradise of the Fathers ; Mimars and Ascetica,,Old Collection,delivery 6.1
Sinai Arabic 586,Kamil,,Calendar determining date of Easter from 1393 to 1409 A.D. ,,Old Collection,delivery 6.1
Sinai Arabic 590,Kamil,,Canons of Oecumenical and Local Councils,,Old Collection,delivery 6.1
Sinai Arabic 600,Kamil,,"Canons of the Apostles, Oecumenical Councils and Local Synods",,Old Collection,delivery 6.1
Sinai Arabic 62,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 6.1
Sinai Arabic 620,Kamil,,Calendar for determining dates of Lent and Feasts from 1409 to 11938 A.D.,,Old Collection,delivery 6.1
Sinai Arabic 63,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 6.1
Sinai Arabic 673,Kamil,,"Prayers, Holy Communion Prayer",,Old Collection,delivery 6.1
Sinai Arabic 675,Kamil,,,Octoechos,Old Collection,delivery 6.1
Sinai Arabic 681,Kamil,,,Horologion|~|Kontakarion|~|Troparion,Old Collection,delivery 6.1
Sinai Arabic 74,Kamil,,,Bible. Gospels,Old Collection,delivery 6.1
Sinai Arabic 82,Kamil,,,Bible. Gospels,Old Collection,delivery 6.1
Sinai Syriac 102,Kamil,,,Bible. Psalms,Old Collection,delivery 6.1
Sinai Syriac 103,Kamil,,,Bible. Psalms,Old Collection,delivery 6.1
Sinai Syriac 116,Kamil,,,Horologion,Old Collection,delivery 6.1
Sinai Syriac 130,Kamil,,,Horologion,Old Collection,delivery 6.1
Sinai Syriac 131,Kamil,,Services,,Old Collection,delivery 6.1
Sinai Syriac 138,Kamil,,Services and Makarismatarion,,Old Collection,delivery 6.1
Sinai Syriac 139,Kamil,,,Bible. Psalms,Old Collection,delivery 6.1
Sinai Syriac 145,Kamil,,,Bible. Gospels,Old Collection,delivery 6.1
Sinai Syriac 149,Kamil,,,Bible. Psalms,Old Collection,delivery 6.1
Sinai Syriac 152,Kamil,,,Euchologion,Old Collection,delivery 6.1
Sinai Syriac 153,Kamil,,,Horologion,Old Collection,delivery 6.1
Sinai Syriac 158,Kamil,,,Horologion,Old Collection,delivery 6.1
Sinai Syriac 159,Kamil,,,Bible. Gospels|~|Bible. Matthew|~|Bible. John,Old Collection,delivery 6.1
Sinai Syriac 160,Kamil,,,Troparion,Old Collection,delivery 6.1
Sinai Syriac 165,Kamil,,,Bible. Psalms,Old Collection,delivery 6.1
Sinai Syriac 17,Kamil,,,Bible. Acts|~|Bible. Epistles|~|Bible. Gospels,Old Collection,delivery 6.1
Sinai Syriac 170,Kamil,,,Bible. Psalms,Old Collection,delivery 6.1
Sinai Syriac 175,Kamil,,,Sticherarion,Old Collection,delivery 6.1
Sinai Syriac 201,Kamil,,,Bible. Psalms,Old Collection,delivery 6.1
Sinai Syriac 226,Kamil,,Hymns and Canons,,Old Collection,delivery 6.1
Sinai Syriac 228,Kamil,,,Lectionary,Old Collection,delivery 6.1
Sinai Syriac 246,Kamil,,,Kontakarion,Old Collection,delivery 6.1
Sinai Syriac 253,Kamil,,,Bible. Psalms,Old Collection,delivery 6.1
Sinai Syriac 255,Kamil,,Prayer for dead,,Old Collection,delivery 6.1
Sinai Syriac 260,Kamil,,,Bible. Psalms,Old Collection,delivery 6.1
Sinai Syriac 261,Kamil,,Services,,Old Collection,delivery 6.1
Sinai Syriac 264,Kamil,,,Horologion,Old Collection,delivery 6.1
Sinai Syriac 273,Kamil,,,Heirmologion,Old Collection,delivery 6.1
Sinai Syriac 278,Kamil,,,Horologion,Old Collection,delivery 6.1
Sinai Syriac 42,Kamil,,,Euchologion,Old Collection,delivery 6.1
Sinai Syriac 64,Kamil,,,Heirmologion,Old Collection,delivery 6.1
Sinai Syriac 91,Kamil,,,Menologion,Old Collection,delivery 6.1
Sinai Arabic 118,Kamil,,,Evangelion,Old Collection,delivery 6.2
Sinai Arabic 128,Kamil,,,Evangelion,Old Collection,delivery 6.2
Sinai Arabic 147,Kamil,,,Bible. Gospels|~|Bible. Epistles of Paul,Old Collection,delivery 6.2
Sinai Arabic 158,Kamil,,,Bible. Acts|~|Bible. Epistles,Old Collection,delivery 6.2
Sinai Arabic 166,Kamil,,,Bible. Epistles,Old Collection,delivery 6.2
Sinai Arabic 17,Kamil,,,Prophetologion,Old Collection,delivery 6.2
Sinai Arabic 181,Kamil,,,Horologion,Old Collection,delivery 6.2
Sinai Arabic 191,Kamil,,,Horologion,Old Collection,delivery 6.2
Sinai Arabic 192,Kamil,,,Horologion,Old Collection,delivery 6.2
Sinai Arabic 207,Kamil,,,Horologion,Old Collection,delivery 6.2
Sinai Arabic 208,Kamil,,,Horologion,Old Collection,delivery 6.2
Sinai Arabic 212,Kamil,,,Horologion,Old Collection,delivery 6.2
Sinai Arabic 214,Kamil,,,Horologion,Old Collection,delivery 6.2
Sinai Arabic 217,Kamil,,,Horologion,Old Collection,delivery 6.2
Sinai Arabic 223,Kamil,,,Liturgy of Saint John Chrysostom|~|Liturgy of Saint Basil,Old Collection,delivery 6.2
Sinai Arabic 226,Kamil,,,Sticherarion,Old Collection,delivery 6.2
Sinai Arabic 227,Kamil,,"Prayers of SS Eustratius, Simeon the Miracle-Maker, John Climax and others",Kontakarion,Old Collection,delivery 6.2
Sinai Arabic 234,Kamil,,Canons,,Old Collection,delivery 6.2
Sinai Arabic 236,Kamil,,Varia,,Old Collection,delivery 6.2
Sinai Arabic 238,Kamil,,,Horologion,Old Collection,delivery 6.2
Sinai Arabic 239,Kamil,, Canon of Obeisance by Andrew Bishop of Crete,Kontakarion,Old Collection,delivery 6.2
Sinai Arabic 24,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 6.2
Sinai Arabic 251,Kamil,,Prayers,,Old Collection,delivery 6.2
Sinai Arabic 253,Kamil,,,Sticherarion,Old Collection,delivery 6.2
Sinai Arabic 256,Kamil,,,Troparion,Old Collection,delivery 6.2
Sinai Arabic 257,Kamil,,,Octoechos,Old Collection,delivery 6.2
Sinai Arabic 258,Kamil,,Liturgical miscellany,,Old Collection,delivery 6.2
Sinai Arabic 300,Kamil,,Commentary on the Epistle to the Romans by St. John Chrysostom,,Old Collection,delivery 6.2
Sinai Arabic 305,Kamil,,"Homilies of St. John Chrysostom, to be read on Sundays in the Coptic Church",,Old Collection,delivery 6.2
Sinai Arabic 306,Kamil,,Discourses by St. John Chrysostom (34 discourses),,Old Collection,delivery 6.2
Sinai Arabic 310,Kamil,,,Bible. Epistles of Paul,Old Collection,delivery 6.2
Sinai Arabic 321,Kamil,,,Barlaam and Joasaph,Old Collection,delivery 6.2
Sinai Arabic 325,Kamil,,Mimars and Homilies,,Old Collection,delivery 6.2
Sinai Arabic 33,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 6.2
Sinai Arabic 339,Kamil,,Mimars of St. John Climax,,Old Collection,delivery 6.2
Sinai Arabic 341,Kamil,,"Mimars of SS. John Climax, John Chrysostom, and Ephraem",,Old Collection,delivery 6.2
Sinai Arabic 342,Kamil,,Mimars of St. John Climax,,Old Collection,delivery 6.2
Sinai Arabic 344,Kamil,,Mimars of St. John Climax ; Life of St. Mark of Seeds,Barlaam and Joasaph,Old Collection,delivery 6.2
Sinai Arabic 347,Kamil,,Life of St. Mark of Seeds ; Mimars of St. Isaac the Syrian ; Teach­ings of St. Ephraem,,Old Collection,delivery 6.2
Sinai Arabic 353,Kamil,,"Mimars of SS. Isaac the Syrian, Isaiah and Ephraem ; Teachings of St. Basil ; Life of St. Bios of Scetis",,Old Collection,delivery 6.2
Sinai Arabic 416,Kamil,,,Synaxarion,Old Collection,delivery 6.2
Sinai Arabic 428,Kamil,,Lives of Saints ; Mimars,,Old Collection,delivery 6.2
Sinai Arabic 452,Kamil,,Lives of Saints ; Mimars,,Old Collection,delivery 6.2
Sinai Arabic 46,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 6.2
Sinai Arabic 461,Kamil,,Martyrdoms and Mimars,,Old Collection,delivery 6.2
Sinai Arabic 490,Kamil,,,"Nikon of the Black Mountain, ca. 1025-ca. 1100. Pandektēs",Old Collection,delivery 6.2
Sinai Arabic 500,Kamil,,Varia,,Old Collection,delivery 6.2
Sinai Arabic 512,Kamil,,Martyrdoms and Lives of Saints,,Old Collection,delivery 6.2
Sinai Arabic 513,Kamil,,Martyrdoms and Lives of Saints ; Mimars,,Old Collection,delivery 6.2
Sinai Arabic 52,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 6.2
Sinai Arabic 523,Kamil,,Lives of Saints ; Mimars,,Old Collection,delivery 6.2
