"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date binding","Date.creation","Scribe","Author","Associated name","Translator","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","image count","IIIF Manifest URL","delivery"
"","","St. Catherine's Monastery, Sinai Syriac 243","Pentekostarion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z17h337r","Work","","Pentekostarion","","1201/1300","","13th c.","","","","","","","","","NLI","","","52 ff. ; 556.5 g","codex","199 x 145 x 41.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc|~|cpa","right-to-left","Syriac","Estrangela","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 243","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891738","114","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17h337r/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 25","Sticherarion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z14x6sgh","Work","","Sticherarion","","1001/1100","","11th c.","","","","","","","","","Kamil","","","267 ff. ; 1468.3 g","codex","211 x 162 x 112.0 mm","Parchment","","","","","","","","","","","text","Liturgical texts|~|Hymnals","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 25","Sinai. Old Collection","https://www.loc.gov/item/00279386449-ms/","546","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14x6sgh/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 250","Sticherarion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z13r2bjg","Work","","Sticherarion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","209 ff. ; 668.4 g","codex","181 x 150 x 63.0 mm","Paper","","","","decorative elements: 35r","","","","","","","text","Liturgical texts|~|Hymnals","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 250","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891739","428","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13r2bjg/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 252","Pentekostarion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1001kvh","Work","","Pentekostarion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","125 ff. ; 449.3 g","codex","178 x 146 x 50.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 252","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891743","264","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001kvh/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 263","Oktoichos","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1v99ss0","Work","","Oktoechos","","1201/1300","","13th c.","","","","","","","","","Kamil","","","226 ff. ; 676 g","codex","185 x 140 x 64.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 263","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891747","462","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v99ss0/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 274","Sticherarion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1qj921m","Work","","Sticherarion","","801/900","","9th c.","","","","","","","","","Kamil","","","154 ff. ; 588.2 g","codex","174 x 141 x 61.0 mm","Paper","","","","","","","","","","f. 142-147 detached","text","Liturgical texts|~|Hymnals","syc","right-to-left","Syriac","","last folio in Arabic of the 10th c.","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 274","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871489","316","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qj921m/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 32","Lectionary of Gospels","","paged","ark:/21198/z1bk2gmg","ark:/21198/z11561rg","Work","","Evangelion","","1001/1100","","11th c.","","","","","","","","","Kamil","","","143 ff. ; 865.8 g","codex","202 x 157 x 80.0 mm","Parchment","","","","","","","","","","","text","Lectionaries|~|Liturgical texts|~|Biblical texts|~|Gospel books","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 32","Sinai. Old Collection","https://www.loc.gov/item/00279386474-ms/","296","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11561rg/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 56","Mimars by SS. John Climax, Jacob and Anastasius of Antioch","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1wd5j69","Work","","","","701/800","","8th c.","","John, Climacus, Saint, active 6th century","","","","","","","Kamil","","","89 ff. ; 560.1 g","codex","245 x 171 x 37.0 mm","Parchment","","","","decorative elements: 26v, 56v","","","","","","","text","Theological works","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 56","Sinai. Old Collection","https://www.loc.gov/item/00279387466-ms/","183","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wd5j69/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 74","Gospels (Matthew and part of Mark)","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1rn4sgk","Work","","Bible. Gospels","","1201/1300","","13th c.","","","","","","","","","Kamil","","","176 ff. ; 1431.7 g","codex","252 x 174 x 77.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Gospel books","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 74","Sinai. Old Collection","https://www.loc.gov/item/00279387521-ms/","364","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rn4sgk/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 85","Menologion (month of Shbāt)","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1mw41sp","Work","","Menologion","","1258","","1258","","","","","","","","","Kamil","","","248 ff. ; 1409.7 g","codex","235 x 162 x 78.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts|~|Hagiographies","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 85","Sinai. Old Collection","https://www.loc.gov/item/00279387612-ms/","506","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mw41sp/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 9","Hexaëmeron by Basil","","paged","ark:/21198/z1bk2gmg","ark:/21198/z18k8ttz","Work","","Basil, Saint, Bishop of Caesarea, approximately 329-379. Hexaemeron","","701/800","","8th c.","","Basil, Saint, Bishop of Caesarea, approximately 329-379","","","","","","","Kamil","","","119 ff. ; 1228 g","codex","249 x 178 x 70.0 mm","Parchment","","","","","","","","","","","text","Theological works","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 9","Sinai. Old Collection","https://www.loc.gov/item/00279386255-ms/","246","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18k8ttz/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 90","Menologion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1h43951","Work","","Menologion","","1265","","1265","","","","","","","","","Kamil","","","280 ff. ; 1035.1 g","codex","195 x 143 x 89.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts|~|Hagiographies","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 90","Sinai. Old Collection","https://www.loc.gov/item/0027938765A-ms/","570","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h43951/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 92","Acts of the Apostles","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1cc2jdv","Work","","Bible. Acts","","1291","","1291","","","","","","","","","Kamil","","","221 ff. ; 992.2 g","codex","196 x 145 x 75.0 mm","Paper","","","","","","","","","Dated","","text","Biblical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 92","Sinai. Old Collection","https://www.loc.gov/item/00279387703-ms/","456","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cc2jdv/manifest","delivery 5.2"
"","","St. Catherine's Monastery, Sinai Syriac 98","Psalms","","paged","ark:/21198/z1bk2gmg","ark:/21198/z17q0h49","Work","","Bible. Psalms","","1259","","1259","","","","","","","","","Kamil","","","233 ff. ; 1073.3 g","codex","189 x 154 x 72.0 mm","Paper","","","","","","","","","Dated","","text","Biblical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 98","Sinai. Old Collection","https://www.loc.gov/item/00279387673-ms/","478","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17q0h49/manifest","delivery 5.2"
