File Name,Item Sequence,Title,Descriptive title,Thumbnail URL,viewingHint,Parent ARK,Item ARK,Object Type,AltTitle.other,AltTitle.uniform,Place of origin,Date.normalized,Date.creation,Scribe,Author,Associated name,Contributors,Contents note,Colophon,Incipit,Explicit,References,Provenance,General note,Format.extent,Format.weight,Form,Format.dimensions,Support,Foliation,Page layout,Hand note,Illustrations note,Inscription,Additions,Binding note,Ink color,Features,Condition note,Type.typeOfResource,Type.genre,Language,Text direction,Writing system,Script,Script note,Rights.statementLocal,Rights contact,Name.repository,Shelfmark,AltIdentifier.local,Collection,Other version(s),IIIF Manifest URL,delivery,image count,Viscodex
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 41",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1gn06sk,Work,,,,,n.d.,,,,,,,,,,,,10 ff.,30.1 g,codex,171 x 127 x 9.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 41,Sinai Arabic NF X 41,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gn06sk/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 42",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1bv9g4m,Work,,Horologion,,,n.d.,,,,,,,,,,,,14 ff.,24.5 g,codex,143 x 110 x 6.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 42,Sinai Arabic NF X 42,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bv9g4m/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 49",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1738qfn,Work,,,,,n.d.,,,,,,,,,,,,74 ff.,97.3 g,codex,127 x 93 x 19.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 49,Sinai Arabic NF X 49,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1738qfn/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 50",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z13b7zqx,Work,,,,,n.d.,,,,,,,,,,,,91 ff.,203.2 g,codex,147 x 115 x 30.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 50,Sinai Arabic NF X 50,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13b7zqx/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 51",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1zp65nb,Work,,,,,n.d.,,,,,,,,,,,,49 ff.,122.6 g,codex,179 x 144 x 20.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 51,Sinai Arabic NF X 51,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zp65nb/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 52",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1tx5dz2,Work,,Horologion,,,n.d.,,,,,,,,,,,,57 ff.,191.4 g,codex,187 x 140 x 19.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 52,Sinai Arabic NF X 52,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tx5dz2/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 54",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1q54p55,Work,,Psalter,,,n.d.,,,,,,,,,,,,121 ff.,155.2 g,codex,130 x 96 x 29.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 54,Sinai Arabic NF X 54,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q54p55/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 58",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1kd3xd0,Work,,Horologion,,,n.d.,,,,,,,,,,,,25 ff.,59.4 g,codex,175 x 129 x 10.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 58,Sinai Arabic NF X 58,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kd3xd0/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 6",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1fn35q3,Work,,Horologion,,,n.d.,,,,,,,,,,,,143 ff.,384.4 g,codex,170 x 140 x 65.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 6,Sinai Arabic NF X 6,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fn35q3/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 61",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z19w2f2p,Work,,,,,n.d.,,,,,,,,,,,,155 ff.,159.7 g,codex,124 x 97 x 40.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 61,Sinai Arabic NF X 61,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19w2f2p/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 62",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1641p9t,Work,,Lectionary,,,n.d.,,,,,,,,,,,z999 found at 81r,148 ff.,273.4 g,codex,186 x 149 x 42.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 62,Sinai Arabic NF X 62,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1641p9t/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 63",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z12f9n08,Work,,Horologion,,,n.d.,,,,,,,,,,,,47 ff.,121.9 g,codex,175 x 145 x 18.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 63,Sinai Arabic NF X 63,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12f9n08/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 67",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1xp94gh,Work,,,,,n.d.,,,,,,,,,,,,30 ff.,114.6 g,codex,223 x 148 x 12.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 67,Sinai Arabic NF X 67,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xp94gh/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Arabic NF X 9",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1sx8cqb,Work,,,,,n.d.,,,,,,,,,,,,49 ff.,209.3 g,codex,222 x 140 x 28.0 mm,Paper,,,,,,,,,,,text,,ara,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic NF X 9,Sinai Arabic NF X 9,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sx8cqb/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac 10",Selections from Greek and Syriac Fathers,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1p57n0b,Work,,,,801/900,9th c. CE,,,,,,,,,Kamil,,,223 ff.,1936.3 g,codex,206 x 168 x 130.0 mm,Parchment,,,,,,,,,,,text,Theological works,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 10,Sinai Syriac 10,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p57n0b/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac 104",Services,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1jd6w92,Work,,,,1201/1300,13th c. CE,,,,,,,,,Kamil,,,225 ff.,1105.9 g,codex,192 x 155 x 77.0 mm,Paper,,,,,,,,,,,text,Liturgical texts,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 104,Sinai Syriac 104,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jd6w92/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac 125",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1dn64kq,Work,,Bible. Psalms,,1201/1300,13th c. CE,,,,,,,,,Kamil,,z_999 found at 215r,268 ff.,1051.9 g,codex,174 x 141 x 130.0 mm,Paper,,,,,,,,,,,text,Biblical texts,ara|~|syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 125,Sinai Syriac 125,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dn64kq/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac 134",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z18w5cwf,Work,Gospels (Matthew and Mark),Bible. Gospels|~|Bible. Matthew|~|Bible. Mark,,1201/1300,13th c. CE,,,,,,,,,Kamil,,,95 ff.,571.1 g,codex,222 x 162 x 35.0 mm,Paper,,,,,,,,,,,text,Biblical texts|~|Gospel books,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 134,Sinai Syriac 134,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18w5cwf/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac 209",Parakletiki,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1573bkr,Work,,,,1201/1300,13th c. CE,,,,,,,,,Kamil,,z999 found at 135r,183 ff.,1594.7 g,codex,270 x 187 x 70.0 mm,Paper,,,,,,,,,,,text,Liturgical texts,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 209,Sinai Syriac 209,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1573bkr/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac 237",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z11g2ktk,Work,Menologion (month of Ab),Menologion,,1258,1258 CE,,,,,,,,,Kamil,,z_999 found at 1r / z_998 found at 145r / z_997 found at 146r,305 ff.,1731.1 g,codex,226 x 175 x 100.0 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Hagiographies,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 237,Sinai Syriac 237,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11g2ktk/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac 3B",Mimars,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1wq2397,Work,,,,1001/1100,11th c. CE,,,,,,,,,,,manuscript has 15 folia and paper additions in between;z999 found at 3r / z998 found at 5r / z997 found at 6v,15 ff.,181.0 g,codex,217 x 152 x 30.0 mm,Parchment,,,,,,,,,,,text,Theological works,cpa,right-to-left,Syriac,Christian Palestinian Aramaic,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 3B,Sinai Syriac 3B,Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wq2397/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac 75",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1rz1bj2,Work,Lectionary of Acts and Epistles,Lectionary,,1295,1295 CE,,,,,,,,,Kamil,,glued together: 88v-89r ; 273 is written as 773;z_998 found at 149r / z_999 found at 265r,340 ff.,1691.3 g,codex,227 x 158 x 101.0 mm,Paper,,,,,,,,,,,text,Lectionaries|~|Liturgical texts|~|Biblical texts,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 75,Sinai Syriac 75,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rz1bj2/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac 89",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1n60kwj,Work,Lectionary of Old Testament,Lectionary,,1101/1200,12th c. CE,,,,,,,,,Kamil,,y_999a,148 ff.,2098.7 g,codex,250 x 170 x 105.0 mm,Paper,,,,,,,,,,,text,Lectionaries|~|Liturgical texts|~|Biblical texts,syc,right-to-left,,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac 89,Sinai Syriac 89,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n60kwj/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 8",Actes apochryphes des apôtres André et Matthieu,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1hd9v64,Work,,,,601/800,7th c. CE,,,,,Very damaged ; Acts of Andrew and Mathias,,,,Philothée,,faded ink / possible MSI,5 ff.,27.5 g,codex,200 x 133 x 17.0 mm,Parchment,,,,,,,,,,,text,,syc,right-to-left,Syriac,Estrangela,Estrangelo circa 6th century,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 8,Sinai Syriac NF M 8,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hd9v64/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF M 9","Memre d'Éphrem, d'Isaac d'Amid et de Jacques",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1cn93gs,Work,,,,701/800,8th c. CE,,,,,"Memra on Antichrist attributed to Isaac the Teacher , author and work elsewhere unknown ; Memre by Ephrem on David, Uriah, and Daniel ; Memra on the Sinful Woman",,,,Philothée,,,54 ff.,263.6 g,codex,197 x 145 x 33.0 mm,Parchment,,,,,,,,,,,text,,syc,right-to-left,Syriac,Estrangela,Estrangelo script; regular and well aligned on both sides,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF M 9,Sinai Syriac NF M 9,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cn93gs/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF X 1",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z180726j,Work,Euchologue (recueil de prières),Euchologion,,901/1000,10th c. CE,,,,,,,,,Philothée,,,50 ff.,136.1 g,codex,144 x 107 x 25.0 mm,Paper,,,,,,,,,,,text,,syc,right-to-left,Syriac,Melkite,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF X 1,Sinai Syriac NF X 1,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz180726j/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF X 10",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z14769fc,Work,"Livre d'heures : stichères, exapostilaires, canons",Horologion,,701/800,8th c. CE,,,,,,,,,Philothée,,palimpsest pastedown and back board inside,23 ff.,146.7 g,codex,203 x 150 x 33.0 mm,Paper,,,,,,,,,,,text,,syc,right-to-left,Syriac,Estrangela,Ancient estrangelo,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF X 10,Sinai Syriac NF X 10,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14769fc/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF X 11",Fragment d'anaphore bilingue de la liturgie byzantine de saint Jean Chrysostome,,paged,ark:/21198/z1bk2gmg,ark:/21198/z10g5jnr,Work,,,,901/1000,10th c. CE,,"John Chrysostom, Saint, -407",,,,,,,Philothée,,,8 ff.,24.5 g,codex,176 x 132 x 5.0 mm,Paper,,,,,,,,,,,text,,syc|~|grc,right-to-left,Syriac,Melkite,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF X 11,Sinai Syriac NF X 11,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10g5jnr/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF X 12",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1vq525v,Work,"Livre d'heures, circa IXe siècle : Texte suivant le rite byzantin de la semaine des laitages (cinquième avant Pâques)",Horologion,,801/900,9th c. CE,,,,,,,,,Philothée,,,8 ff.,21.7 g,codex,173 x 130 x 5.0 mm,Paper,,,,,,,,,,,text,,syc,right-to-left,Syriac,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF X 12,Sinai Syriac NF X 12,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vq525v/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF X 13","Livre de prières : lectures des l'Évangiles, hymnes",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1qz49gk,Work,,,,,n.d.,,,,,,,,,Philothée,,,16 ff.,28.5 g,codex,143 x 109 x 10.0 mm,Paper,,,,,,,,,,,text,,syc,right-to-left,Syriac,Serto,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF X 13,Sinai Syriac NF X 13,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qz49gk/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF X 14",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1m63jt2,Work,Évangile de Jean suivi des dyptiques complets jour par jour : Légères différences avec le texte de la Peshitta (Lectionnaire),Bible. Gospels,,,n.d.,,,,,,,,,Philothée,,,17 ff.,46.2 g,codex,173 x 127 x 10.0 mm,Paper,,,,,,,,,,,text,,syc,right-to-left,Syriac,Melkite,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF X 14,Sinai Syriac NF X 14,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m63jt2/manifest,delivery 8.1,,
,,"Sinai, St. Catherine’s Monastery, Syriac NF X 17",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1gf2t29,Work,Stichères pour le matin et le soir,Sticherarion,,,n.d.,,,,,,,,,Philothée,,"ff. 1v-2r, 29v-30r stuck together ; palimpsest ff.1-2, 29-30",26 ff.,49.6 g,codex,150 x 119 x 15.0 mm,Paper,,,,,,,,,,,text,,syc,right-to-left,Syriac,,Syro-Palestinian script,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Syriac NF X 17,Sinai Syriac NF X 17,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gf2t29/manifest,delivery 8.1,,
