"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date binding","Date.creation","Scribe","Author","Associated name","Translator","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","image count","IIIF Manifest URL","delivery"
"","","St. Catherine's Monastery, Sinai Arabic 426","Mimar and Varia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1n02r6b","Work","","","","1415","","1415","","John Chrysostom, Saint, -407|~|Gregory, of Nazianzus, Saint","","","Mimar of St. John Chrysostom on Lent ; Life of St. George ; In­troduction to the Psalms by St. Gregory the Theologian ; Short prayers to Our Lady","","","","Kamil","","","67ff.","codex","194 x 151 x 37.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 426","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n02r6b/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 445","Mimars, Lives of Saints, Martyrdoms, Canons, Calendars, and other treatises","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1h720g0","Work","","","","1233","","1233","","","","","Codex containing 30 Miscellaneous Mimars, Lives of Saints, Martyrdoms, Canons, Calendars, and other treatises. These may be classi­fed in the following categories: 1 - Mimars by SS. John Chrysostom, Ephraem  the Syrian, Mark, Theodore and Epiphanius.  2-Two treatises on the determination of dates and of Cyclus. 3 -  Apopthegmata  derived  from the sayings of St. Moses of Scetis. 4 - Canons of St. Andrew Bishop of Crete, of the Apostles, of Clement Pope of Rome, and of other Fathers of the church. 5 - Stories of the Prophet Elias, investiture of St. Peter, the Apostles Matthew and Andrew, St. Paul the Apostle, St. Simeon Stylite, St. Eulogius the Quarryman, St. Christopher, Philip the Apostle, Tadry the merchant and Abraham the Jew of Constantinople. 6 - Epistle of Abgar King of al­ Ruha and the answer to it. 7 - Martyrdom of SS. Cyprian and Justina, and of St. Anthony who perished in the city of al-Raqqa during the reign of Hariin al-Rashīd. 8 - Commemoration of Events in Jesus Christ's life during the reign of Pontius Pilate. 9 - Various items containing the book of the ""Synodikia"" an astrological treatise connected with Christmas, and the benediction of circumcision and marriage","","","","Kamil","","","461ff.","codex","182 x 138 x 115.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 445","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h720g0/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 467","Paradise of the Fathers","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1cg17sq","Work","","","","1201/1300","","13th c.","","","","","","","","","Kamil","","","251ff.","codex","182 x 143 x 85.0 mm","Paper","","","","","","","","","","","text","Historical works|~|Hagiographies","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 467","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cg17sq/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 471","Varia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z17q0h5r","Work","","","","1201/1300","","13th c.","","","","","Aphophtegmata. Two Mimars by St. Ephraem the Syrian. Three Lives of Saints. The text of prayers to be said for intending monks. A part of the Universal History of al-Manbigi. The Lives of Saints include the stories of Martianus the Hermit, the lady who took a monk’s garb, and a person surnamed “God’s Man”","","","","Kamil","","","192ff.","codex","175 x 137 x 68.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 471","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17q0h5r/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 485","Lives of Saints ; Discourses","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1418fs6","Work","","","","1201/1300","","13th c.","","","","","Lives of SS. Bartholome and Andrew ; Elias’ miracles ; St. John’s Book of Revelation ; Epistle of Abgar King of Edessa ; Three debates: 1 - between SS. Basil and Gregory; 2 - between St. John and the Priest; 3 - between St. Athanasius and Antiochus the Abbot ; Anonymous treatise on the Unity and Trinity of God ; St. Gregory on the Nature of Animals","","","","Kamil","","","216ff.","codex","170 x 134 x 58.0 mm","Paper","","","","","","","","","","","text","Historical works|~|Hagiographies","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 485","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1418fs6/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 486","Miscellaneous discourses and Mimars","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1087q2w","Work","","","","1201/1300","","13th c.","","","","","Miscellaneous discourses and Mimars by SS. Maximus (32), John Chrysostom and Macarius the Pious, together with a selction from David the Prophet","","","","Kamil","","","161ff.","codex","144 x 119 x 65.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 486","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1087q2w/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 51","Psalter and Odes","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1rv26gv","Work","","Bible. Psalms|~|Psalter","","1201/1300","","13th c.","","","","","","","","","Kamil","","","136ff.","codex","179 x 140 x 70.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 51","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rv26gv/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 531","Martyrdoms and Lives of Saints ; Mimars","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1vh76j4","Work","","","","1232","","1232","","","","","Codex containing seventeen miscellaneous treatises which may be divided into the following categories: 1 - The Revelation of St. Paul. 2 - Lives of Saints beginning with that of the anonymous saint surnamed “God’s Man”. Other Lives include those of St. Marina, St. John Damascene, and St. Paul during his encounter with Satan. 3 - Martyrdom of St. Barbara and two anonymous Saints during the wars of Heraclius and Chosroes the Persian. 4 — Mimar by St. Anastasius Bishop of Mt. Sinai, two theological epistles by Paul Bishop of Sidon to some Muslims, two anonymous sermons and twelve Troparia. 5 - Miracles of Our Lord. 6 - Story of the Icon of Our Lady in the Monastery of Saidanaya. 7 - Story of the discovery of the Holy Cross of the Passion by St. Helena. 8 - St. Eustratius on the sack of Jerusalem and the capture of the Holy Cross of the Passion together with Zacharias Patriarch of Jerusalem","","","","Kamil","","","352ff.","codex","159 x 127 x 104.0 mm","Paper","","","","","","","","","","","text","Historical works|~|Hagiographies","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 531","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vh76j4/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 540","Martyrdoms ; Lives of Saints ; Mimars","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1qr6fsz","Work","","","","1101/1200","","12th c.","","","","","Codex contains ten tracts. Seven deal with Martyrdoms and Lives of Saints, including the Saints Samonas, Gurias, Aficus, Favila Patriarch of Antioch, the Apostle Ananias, Cosmas and Damian with their brothers, Thaddeus and his pupil, Barlaam and Josaphat, and “God’s Man” ; The remaining three tracts are: 1 - The answer to the Epistle of Abgar, King of Edessa. 2 - Mimar by St. Anastasius, Abbot of Mt. Sinai on Psalm VI. 3 - Account of the discovery of the Holy Cross the Passion by St. Helena","","","","Kamil","","","270ff.","codex","162 x 121 x 65.0 mm","Paper","","","","","","","","","","","text","Historical works|~|Martyrologies","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 540","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qr6fsz/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 545","Lives and Martyrdoms of Saints ; Various Treatises","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1m05q3d","Work","","","","901/1000","","10th c.","","","","","","","","","Kamil","","","444ff.","codex","197 x 180 x 147.0 mm","Paper","","","","","","","","","","","text","Historical works|~|Martyrologies","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 545","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m05q3d/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 559","Paradise of the Fathers ; Mimars and Ascetica","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1g74zfk","Work","","","","1201/1300","","13th c.","","","","","Paradise of the Fathers, preceded by Mimars and Ascetica from the works of SS. Ephraem, Basil, and Gregory of Nyssa","","","","Kamil","","","269ff.","codex","193 x 153 x 85.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 559","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g74zfk/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 586","Calendar determining date of Easter from 1393 to 1409 A.D. ","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1bg46s4","Work","","","","1409","","1409","","","","","Preceded by a concordance of numerals in Arabic and Epact up to forty million","","","","Kamil","","","152ff.","codex","141 x 93 x 58.0 mm","Paper","","","","","","","","","","","text","Calendars","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 586","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bg46s4/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 590","Canons of Oecumenical and Local Councils","","paged","ark:/21198/z1bk2gmg","ark:/21198/z16t25cs","Work","","","","1201/1300","","13th c.","","","","","","","","","Kamil","","","162ff.","codex","213 x 174 x 47.0 mm","Paper","","","","","","","","","","","text","Canon law","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 590","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16t25cs/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 600","Canons of the Apostles, Oecumenical Councils and Local Synods","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1321dnc","Work","","","","1101/1300","","12th c.","","","","","","","","","Kamil","","","319ff.","codex","170 x 142 x 60.0 mm","Paper","","","","","","","","","","","text","Canon law","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 600","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1321dnc/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 62","Psalter and Odes","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1n6052t","Work","","Bible. Psalms|~|Bible. Odes|~|Psalter","","1312","","1312","","","","","","","","","Kamil","","","215ff.","codex","145 x 112 x 72.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 62","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n6052t/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 620","Calendar for determining dates of Lent and Feasts from 1409 to 11938 A.D.","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1z90x36","Work","","","","1409","","1409","","","","","","","","","Kamil","","","155ff.","codex","160 x 113 x 39.0 mm","Paper","","","","","","","","","","","text","Calendars","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 620","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z90x36/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 63","Psalter and Odes","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1hd9ddf","Work","","Bible. Psalms|~|Bible. Odes|~|Psalter","","1201/1300","","13th c.","","","","","","","","","Kamil","","","338ff.","codex","167 x 141 x 91.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 63","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hd9ddf/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 673","Prayers, Holy Communion Prayer","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1tj05bd","Work","","","","1201/1300","","13th c.","","","","","","","","","Kamil","","","27ff.","codex","147 x 99 x 8.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 673","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tj05bd/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 675","Oktoichos","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1pr9dm4","Work","","Oktoechos","","1708","","1708","","","","","","","","","Kamil","","","208ff.","codex","170 x 128 x 58.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 675","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pr9dm4/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 681","Horologion, Troparia, and Kontakion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1k08p0g","Work","","Horologion|~|Kontakarion","","1714","","1714","","","","","","","","","Kamil","","","238ff.","codex","161 x 119 x 62.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 681","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k08p0g/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 74","Four Gospels, divided according to the readings of the Greek Calendar","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1cn8nn8","Work","","Bible. Gospels","","801/900","","9th c.","","","","","","","","","Kamil","","","255ff.","codex","171 x 134 x 100.0 mm","Parchment","","","","","","","","","","","text","Biblical texts|~|Gospel books","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 74","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cn8nn8/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Arabic 82","Four Gospels, divided according to Greek Calendar","","paged","ark:/21198/z1bk2gmg","ark:/21198/z17w7wvn","Work","","Bible. Gospels","","1287","","1287","","","","","Preceded by an index of chapters and followed by general calendar of Gospel readings for the year","","","","Kamil","","","246ff.","codex","229 x 157 x 79.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Gospel books","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 82","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17w7wvn/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 102","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1x93vzd","Work","","Bible. Psalms","","1327","","1327","","","","","","","","","Kamil","","","190ff.","codex","164 x 127 x 55.0 mm","Paper","","","","","","","","","","","text","Biblical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 102","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x93vzd/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 103","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1sj348x","Work","","Bible. Psalms","","1235","","1235","","","","","","","","","Kamil","","","200ff.","codex","181 x 146 x 75.0 mm","Paper","","","","","","","","","","","text","Biblical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 103","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sj348x/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 116","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ns2cnj","Work","","Horologion","","985","","985","","","","","","","","","Kamil","","","204ff.","codex","180 x 152 x 67.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 116","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ns2cnj/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 130","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1j40b7h","Work","","Horologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","298ff.","codex","174 x 152 x 86.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 130","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j40b7h/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 131","Services","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1db9kmk","Work","","","","1242","","1242","","","","","","","","","Kamil","","","347ff.","codex","177 x 136 x 91.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 131","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1db9kmk/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 138","Services and Makarismatarion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z18k8tvd","Work","","","","1201/1300","","13th c.","","","","","","","","","Kamil","","","205ff.","codex","178 x 135 x 66.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 138","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18k8tvd/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 139","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z14t8331","Work","","Bible. Psalms","","1201/1300","","13th c.","","","","","","","","","Kamil","","","300ff.","codex","173 x 132 x 99.0 mm","Paper","","","","","","","","","","","text","Biblical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 139","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14t8331/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 145","Four Gospels","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1127bb5","Work","","Bible. Gospels","","1188","","1188","","","","","","","","","Kamil","","","240ff.","codex","183 x 145 x 70.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Gospel books","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 145","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1127bb5/manifest","delivery 6.1"
