File Name,Item Sequence,Title,Descriptive title,Thumbnail URL,Related,viewingHint,Parent ARK,Item ARK,Object Type,AltTitle.other,AltTitle.uniform,Undertext Objects,Overtext Manuscript,Place of origin,Date.normalized,Date.creation,Scribe,Author,Associated Name,Contributors,Contents note,Contents,Colophon,Incipit,Explicit,References,Provenance,General note,Format.extent,Format.weight,Form,Format.dimensions,Folio dimensions,Support,Foliation,Collation,Page layout,Hand note,Illustrations note,Inscription,Additions,Binding note,Binding condition,Ink color,Features,Condition note,Type.typeOfResource,Type.genre,Language,Text direction,Writing system,Script,Script note,Rights.statementLocal,Rights contact,Name.repository,Shelfmark,Collection,Other version(s),IIIF Manifest URL,delivery,image count,Viscodex
,,"Sinai, St. Catherine’s Monastery, Arabic 31",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk20rk%2Fdx21zn37/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1pk20rk,Work,,Bible. Psalms|~|Psalter,,,,1101/1200,12th c. CE,,,,,,,,,,Kamil,,,91 ff.,750.9 g,Codex,237 x 157 x 45 mm,,Paper,,,,,,,,,,,,,text,Biblical texts|~|Liturgical texts,ara|~|grc,right-to-left,Arabic|~|Greek,Naskh|~|Greek minuscule,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 31,Old Collection,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891583 ,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pk20rk/manifest,delivery 4.3,196,
,,"Sinai, St. Catherine’s Monastery, Arabic 310",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d23gc5%2F3r537n7f/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1d23gc5,Work,"Epistles of St. Paul to the Romans, the Corinthians I—II, and the Galatians",Bible. Epistles of Paul,,,,1001/1100,11th c. CE,,,,,,,,,,Kamil,,,96 ff.,229.1 g,Codex,243 x 157 x 21.0 mm,,Paper,,,,,,,,,,,,,text,Biblical texts,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 310,Old Collection,https://www.loc.gov/item/00279384039-ms/,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d23gc5/manifest,delivery 6.2,196,
,,"Sinai, St. Catherine’s Monastery, Arabic 311",Mimars by St. Ephraem the Syrian,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b86xkt%2Fnk79c385/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1b86xkt,Work,,,,,,1001/1100,11th c. CE,,"Ephrem the Syrian, Saint, 303-373|~|Gregory, of Nyssa, Saint, approximately 335-approximately 394",,,Mimars by St. Ephraem the Syrian followed by an encomium addressed to him by St. Gregory Bishop of Nyssa,,,,,Kamil,,,314 ff.,2211.6 g,Codex,263 x 197 x 95.0 mm,,Parchment,,,,,,,,,,,,,text,Theological works|~|Mimars,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 311,Old Collection,https://www.loc.gov/item/00279384040-ms/,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b86xkt/manifest,delivery 6.3,633,
,,"Sinai, St. Catherine’s Monastery, Arabic 312",Mimars by St. Ephraem,,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1hx2h18,Work,,,,,,1101/1200,12th c. CE,,"Ephrem the Syrian, Saint, 303-373",,,,,,,,Kamil,,,48 ff.,977.3 g,Codex,290 x 231 x 39 mm,,Parchment,,,,,,"Donation inscription, ff. 45v, 46r",,Back board and spine lacking,,,Rubrication|~|Marginalia|~|Inscription(s),,text,Theological works|~|Mimars,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 312,Old Collection,https://www.loc.gov/item/00279384052-ms/,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hx2h18/manifest,delivery 3,104,
,,"Sinai, St. Catherine’s Monastery, Arabic 314",Works of St. Ephraem the Syrian | Works of Bishop Dionysius the Areopagite,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg0bgn%2F4v42dr97/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1qg0bgn,Work,,,,,,1484,1484 CE,,"Ephrem the Syrian, Saint, 303-373|~|Dionysius, the Areopagite, Saint, active 1st century",,,"Codex consisting of two sets of works: 1 - the Works of St. Ephraem the Syrian, with an introduction on his life. 2 - Works of Bishop Dionysius the Areopagite. The latter part is the older of the two",,,,,Kamil,,,431 ff.,2768.8 g,Codex,266 x 192 x 109 mm,,Paper,,,,,,,,,,,Dated,,text,Theological works,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 314,Old Collection,https://www.loc.gov/item/00279384064-ms/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qg0bgn/manifest,delivery 4.3,870,
,,"Sinai, St. Catherine’s Monastery, Arabic 315",Mimars by St. Ephraem,,,paged,ark:/21198/z1bk2gmg,ark:/21198/z1d51rb9,Work,,,,,,1485,1485 CE,,"Ephrem the Syrian, Saint, 303-373",,,,,"""It was copied at Holy Mount Si[nai?] Monastery during the day of Tuesday 10 in the month of Āb [August] in the Year of the Existence of the World [Anno Mundi] 6993"" (f. 1r).",نبتدي بعون الله سبحانه و تعالیٰ نكتب (f. 1r).,,Kamil,Holy Mount Si[nai?] Monastery (f. 1r),,240 ff.,2182.5 g,Codex,310 x 231 x 89 mm,,Paper,,,,,"Geometric decoration on f. 1r, rosette partially filled with red and black ink","Supplicant inscriptions, etc. ff. 1r, 59v, 99r, 239r, 239v, back board inside",,,,,"Rubrication|~|Marginalia|~|Decoration, Geometric|~|Colophon|~|Dated|~|Inscription(s)",,text,Theological works|~|Mimars,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 315,Old Collection,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871015 ,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d51rb9/manifest,delivery 3,490,
,,"Sinai, St. Catherine’s Monastery, Arabic 316",Mimars of St. Ephraem the Syrian | Canon of Obeisance,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr0j5g%2F2537s55q/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1sr0j5g,Work,,,,,,1101/1300,12th c. CE,,"Ephrem the Syrian, Saint, 303-373|~|Andrew, of Crete, Saint, approximately 660-740",,,Mimars of St. Ephraem the Syrian ; Canon of Obeisance by St. Andrew Bishop of Crete. Different Prayers,,,,,Kamil,,,267 ff.,942.9 g,Codex,181 x 142 x 80.0 mm,,Paper,,,,,,,,,,,,,text,Theological works|~|Mimars,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 316,Old Collection,https://www.loc.gov/item/00279385305-ms/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sr0j5g/manifest,delivery 6.1,545,
,,"Sinai, St. Catherine’s Monastery, Arabic 317",Works of St. John Damascene | Patristica on the Faith by Bishop ‘Abdallah ibn al-Fadl,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h65wx%2Fx937vp98/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z16h65wx,Work,,,,,,1223,1223 CE,,"John, of Damascus, Saint|~|Anṭākī, ʻAbd Allāh ibn al-Faḍl, -approximately 1052",,,"One Hundred theological discourses by St. John Damascene. Treatise on Logic in 53 chapters by St. John Damascene, followed by his life. Abridged Patristica on the Faith by Bishop ‘Abdallah ibn al-Fadl. Constitution of the Orthodox Faith by St. John Damascene",,,,,Kamil,,,468 ff.,3271.3 g,Codex,263 x 194 x 131.0 mm,,Paper,,,,,,,,,,,Dated,,text,Theological works|~|Apophthegmata,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 317,Old Collection,https://www.loc.gov/item/00279384118-ms/,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz16h65wx/manifest,delivery 6.3,951,
,,"Sinai, St. Catherine’s Monastery, Arabic 318",Works of St. John Damascene,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nz9sbv%2Fq233ss2r/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1nz9sbv,Work,,,,,,1226,1226 CE,,"John, of Damascus, Saint",,,"Treatise on Logic, followed by One Hundred discourses on the Orthodox Faith, on Nestorians, on Icons, on Jacobites, an Epistle to Cosmas his disciple, etc. by St. John Damascene",,,,,Kamil,,,414 ff.,1276.2 g,Codex,182 x 141 x 96.0 mm,,Paper,,,,,,,,,,,Dated,,text,Theological works|~|Apophthegmata,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 318,Old Collection,https://www.loc.gov/item/00279384106-ms/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nz9sbv/manifest,delivery 6.1,839,
,,"Sinai, St. Catherine’s Monastery, Arabic 319",Works of St. John Damascene,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k0f3s%2F17766r9z/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z11k0f3s,Work,,,,,,1201/1300,13th c. CE,,"John, of Damascus, Saint",,,Theological discourses beginning with discourse 21 and ending with discourse 106 on Iconoclasts etc.; followed by treatise on Logic which ends in chapter 47,,,,,Kamil,,,359 ff.,1381.6 g,Codex,232 x 158 x 72 mm,,Paper,,,,,,,,,,,Rubrication|~|Marginalia,Front and back boards lacking. First lead and last quires loose.,text,Theological works|~|Apophthegmata,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 319,Old Collection,https://www.loc.gov/item/0027938409A-ms/,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11k0f3s/manifest,delivery 1,724,
,,"Sinai, St. Catherine’s Monastery, Arabic 32",,,,individuals,ark:/21198/z1bk2gmg,ark:/21198/z1nz9bx3,Work,Psalter and Odes,Bible. Psalms|~|Bible. Odes|~|Psalter,,,,1001/1100,11th c. CE,,,,,"151 Psalms and 10 Odes, preceded by short calendar and followed by prayers in Arabic and Greek. Ending with magic prescription for persons bitten by serpents",,,,,Kamil,,,138 ff.,312.7 g,Codex,164 x 128 x 44 mm,,Paper,"The sequence of ff. 31, 32, 33 is repeated once and then f. 34 follows.",,,,"Minor geometric headpieces on ff. 33v, 101 | Tailpiece on f. 104v, triangle motif | Decoration on f. 132v, fleur de lis | Illustration of a man's face, f. 132v | Illustration, bust of a man with nimbus, f. 133r",,,,,,"Marginalia|~|Headpiece(s)|~|Decoration, Geometric|~|Decoration, Vegetative|~|Illustration(s)",Front board single piece of leather with corner missing and remains of flap. Part of inside lining is all that is left of back cover. Last leaf has Sellotape.,text,Biblical texts|~|Liturgical texts,ara|~|grc,right-to-left,Arabic|~|Greek,Greek minuscule,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 32,Old Collection,https://www.loc.gov/item/00279385858-ms/,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nz9bx3/manifest,delivery 2,287,
,,"Sinai, St. Catherine’s Monastery, Arabic 320",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s67k3%2F76301r6v/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z18s67k3,Work,Life of Barlaam and Josaphat,Barlaam and Joasaph,,,,1236,1236 CE,,,,,Includes debate between the Master and the Pupil on the Trinity and the Unity of God,,,,,Kamil,,,217 ff.,794.6 g,Codex,193 x 141 x 68 mm,,Paper,,,,,,,,,,,Dated,,text,Historical works|~|Hagiographies,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 320,Old Collection,https://www.loc.gov/item/00279384088-ms/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18s67k3/manifest,delivery 5.1,444,
,,"Sinai, St. Catherine’s Monastery, Arabic 321",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1892qpw%2F0q12pn9g/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1892qpw,Work,Life of Barlaam and Josaphat,Barlaam and Joasaph,,,,1247,1247 CE,,,,,,,,,,Kamil,,,310 ff.,1237.9 g,Codex,192 x 147 x 89.0 mm,,Paper,,,,,,,,,,,Dated,,text,Historical works|~|Hagiographies,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 321,Old Collection,https://www.loc.gov/item/00279384076-ms/,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1892qpw/manifest,delivery 6.2,628,
,,"Sinai, St. Catherine’s Monastery, Arabic 322",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1515gw4%2F8h957j4m/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1515gw4,Work,Life of Barlaam and Josaphat,Barlaam and Joasaph,,,,1402,1402 CE,,,,,Includes a series of poems in praise of Our Lord and other religious items in different hands,,,,,Kamil,,,227 ff.,984.4 g,Codex,204 x 152 x 70 mm,,Paper,,,,,,,,,,,Dated,,text,Historical works|~|Hagiographies,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 322,Old Collection,https://www.loc.gov/item/00279385317-ms/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1515gw4/manifest,delivery 5.1,466,
,,"Sinai, St. Catherine’s Monastery, Arabic 323",,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1184r68%2Fr452fc40/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1184r68,Work,Life of Barlaam and Josaphat,Barlaam and Joasaph,,,,1201/1300,13th c. CE,,,,,,,,,,Kamil,,,314 ff.,1166.2 g,Codex,188 x 141 x 85 mm,,Paper,,,,,,,,,,,,Some split pages,text,Historical works|~|Hagiographies,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 323,Old Collection,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871419 ,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1184r68/manifest,delivery 5.1,638,
,,"Sinai, St. Catherine’s Monastery, Arabic 324",Mimars by John Climax,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r5f5m%2Fc130cx8h/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z12r5f5m,Work,Barlaam and Josaphat,Barlaam and Joasaph,,,,1201/1300,13th c. CE,,,,,,,,,,Kamil,,,214 ff.,803.2 g,Codex,231 x 172 x 50.0 mm,,Paper,,,,,,,,,,,,,text,Historical works|~|Hagiographies,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 324,Old Collection,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871016/NLI,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz12r5f5m/manifest,delivery 6.3,432,
,,"Sinai, St. Catherine’s Monastery, Arabic 325",Mimars and Homilies,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j1zvt%2F1x463z1m/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z14j1zvt,Work,,,,,,1639,1639 CE,,"Theodore, Studites, Saint, 759-826|~|John Chrysostom, Saint, -407",,,"Teaching and Homilies of St. Theodore, Abbot of the Monastery of Stodion ; Mimars of SS. Ephraem and John Chrysostom",,,,,Kamil,,,275 ff.,499.8 g,Codex,163 x 121 x 48.0 mm,,Paper,,,,,,,,,,,Dated,,text,Theological works|~|Apophthegmata,ara,right-to-left,Arabic,Naskh,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 325,Old Collection,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871017 ,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz14j1zvt/manifest,delivery 6.2,560,
,,"Sinai, St. Catherine’s Monastery, Arabic 326","Teaching and Homilies of St. Theodore, Abbot of the Monastery of Stodion",,,paged,ark:/21198/z1bk2gmg,ark:/21198/z18d10pv,Work,,,,,,1244,1244 CE,,"Theodore, Studites, Saint, 759-826",,,,,"""The [copying of the] sacred teachings … were finished during the day of Friday 4 in the month of Ādhār [March] in the Year of Our Father Adam [Anno Mundi] 6752, and it was copied by … [difficult to read] at Lady ‘Ammāriyah[?] Church …"" (f. 214v–215r).",,نجزت (f. 214v).,Kamil,Lady ‘Ammāriyah[?] Church … (f. 214v),,215 ff.,792.8 g,Codex,255 x 180 x 80 mm,,Paper,f. 49 lacking,,,Scribe: [difficult to read] (f. 214v),,"Donation inscriptions, 
front board inside, ff. 1r, 1v | Reader inscription, f. 215v | Inscription, back board inside",,,,,Rubrication|~|Colophon|~|Dated|~|Inscription(s),Rodent damage affecting text on ff. 1–2,text,Theological works|~|Apophthegmata,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 326,Old Collection,https://www.loc.gov/item/00279385329-ms/,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18d10pv/manifest,delivery 3,440,
,,"Sinai, St. Catherine’s Monastery, Arabic 327",Miscellaneous treatises,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ws9xjn%2F3j303867/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1ws9xjn,Work,,,,,,1292,1292 CE,,"Basil, Saint, Bishop of Caesarea, approximately 329-379|~|John Chrysostom, Saint, -407|~|Macarius, the Egyptian, Saint, active 4th century|~|Gregory, of Nazianzus, Saint",,,"Miscellaneous treatises by SS. Maximus Thalassius, Basil, John Chrysostom, Gregory the Theologian, Carpatheus (Hundred chapters addressed to the Monks of India), Macarius Bishop of Mt. Sinai, and other anonymous discourses",,,,,Kamil,,,173 ff.,901.0 g,Codex,220 x 160 x 50 mm,,Paper,ff. 15 to 19 lacking,,,,"Ornate headpieces on f. 2v, red and green triangle motif with leaves in the center, elevated cross, palmettes on the corners; f. 67v, volutes with flowers in the center, branches, palmettes on the corners, two elevated crosses; f. 94v, geometric motif with palmettes and elevated volutes | Headpieces on f. 15r, chain motif with palmettes; f. 36r, volutes with leaves, palmettes on the corners; f. 53r, triangle motif with fleur de lis | Minor geometric headpieces on ff. 73v, 79r, 85v, 136v | Minor vegetative headpiece on f. 126v, red leaf",,,,,,"Rubrication|~|Dated|~|Headpiece(s)|~|Decoration, Geometric|~|Decoration, Vegetative",,text,Theological works|~|Apophthegmata,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 327,Old Collection,https://www.loc.gov/item/00279385330-ms/,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ws9xjn/manifest,delivery 1,372,
,,"Sinai, St. Catherine’s Monastery, Arabic 328",Miscellaneous treatises | Mimars,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s195rq%2Fsh971p6b/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1s195rq,Work,,,,,,1816,1816 CE,,"Isaac, Bishop of Nineveh, active 7th century|~|Cassian, John, approximately 360-approximately 435|~|Simeon Stylites, Saint, 380-459",,,Treatises by St. Maximus ; Epistle of St. Cassian ; Mimars of SS. Isaac the Syrian and Simeon Stylite ; Apophthegmata derived from the teachings of the Monks of Scetis,,Colophon on f. 1,,,Kamil,,,262 ff.,198.5 g,Codex,220 x 165 x 60 mm,,Paper,,,,,Minor geometric headpiece on f. 56v,,,,,,"Rubrication|~|Dated|~|Marginalia|~|Colophon|~|Headpiece(s)|~|Decoration, Geometric",,text,Theological works|~|Apophthegmata,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 328,Old Collection,https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871018 ,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s195rq/manifest,delivery 1,554,
,,"Sinai, St. Catherine’s Monastery, Arabic 329",Mimars | Discourses  | Apophthegmata,"https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j691kc%2Fxt819d9h/full/!200,200/0/default.jpg",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1j691kc,Work,,,,,,901/1000,10th c. CE,,"John, Climacus, Saint, active 6th century|~|Mark, the Hermit, -approximately 430|~|Diadochus, Bishop of Photice, active 5th century",,,Mimars by SS. John Climax and Mark the Monk ; Discourses of St. Diadochos Bishop of Photike ; Sayings of SS. Dorotheus and Nilus ; An anonymous commentary on the Gospel of St. Matthew,,,,,Kamil,,,290 ff.,1112.8 g,Codex,171 x 147 x 96.0 mm,,Paper,,,,,,,,,,,,,text,Theological works|~|Mimars|~|Commentaries,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 329,Old Collection,https://www.loc.gov/item/00279385342-ms/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j691kc/manifest,delivery 6.1,589,
