"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date binding","Date.creation","Scribe","Author","Associated name","Translator","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","image count","IIIF Manifest URL","delivery"
"","","St. Catherine's Monastery, Sinai Arabic 33","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1sf4dzj","Work","Psalter and Odes","Bible. Psalms|~|Bible. Odes|~|Psalter","","1201/1300","","13th c.","","","","","","","","","Kamil","","","152 ff.","382.2 g","codex","186 x 160 x 45.0 mm","Paper","f.81-87 repeats","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 33","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 339","Mimars of St. John Climax","","paged","ark:/21198/z1bk2gmg","ark:/21198/z10s173f","Work","","","","1301/1400","","14th c.","","John, Climacus, Saint, active 6th century","","","","","","","Kamil","","","276 ff.","1100.2 g","codex","220 x 164 x 51.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 339","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 341","Mimars of St. John Climax ; Mimars of SS. John Chrysostom and Ephraem","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1w10qm2","Work","","","","1201/1300","","13th c.","","John, Climacus, Saint, active 6th century|~|John Chrysostom, Saint, -407|~|Ephraem, Syrus, Saint, 303-373","","","","","","","Kamil","","","283 ff.","1407.5 g","codex","215 x 167 x 105.0 mm","Parchment","","","","","","","","","","f. 265r-266v sewn together","text","Theological works|~|Mimars","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 341","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 342","Mimars of St. John Climax","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1r8000g","Work","","","","1601/1700","","17th c.","","John, Climacus, Saint, active 6th century","","","","","","","Kamil","","","143 ff.","676 g","codex","229 x 168 x 39.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 342","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 344","Mimars of St. John Climax ; Life of St. Barlaam ; Life of St. Mark of Seeds","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1mk7xks","Work","","","","1201/1300","","13th c.","","John, Climacus, Saint, active 6th century","","","","","","","Kamil","","","216 ff.","1845.7 g","codex","269 x 194 x 75.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 344","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 347","Life of St. Mark of Seeds ; Mimars of St. Isaac the Syrian ; Teach­ings of St. Ephraem","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1gt75xb","Work","","","","1223","","1223","","Isaac, Bishop of Nineveh, active 7th century","Ephraem, Syrus, Saint, 303-373","","","","","","Kamil","","","199 ff.","1364.8 g","codex","258 x 192 x 92.0 mm","Paper","","","","","","","","","Dated","","text","Theological works|~|Mimars","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 347","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 353","Mimars of SS. Isaac the Syrian, Isaiah and Ephraem ; Teachings of St. Basil ; Life of St. Bias of Scetis","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1c26f6b","Work","","","","1201/1300","","13th c.","","Isaac, Bishop of Nineveh, active 7th century|~|Ephraem, Syrus, Saint, 303-373","","","","","","","Kamil","","","415 ff.","1258 g","codex","181 x 147 x 98.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 353","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 416","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1795pc8","Work","Synaxarium, Part I","Synaxarion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","206 ff.","2643.8 g","codex","300 x 244 x 90.0 mm","Paper","","","","decorative elements: 4r","","","","","","","text","Liturgical texts|~|Hagiographies","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 416","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 428","Lives of Saints ; Mimars","","paged","ark:/21198/z1bk2gmg","ark:/21198/z13j4xnj","Work","","","","901/1000","","10th c.","","Ephraem, Syrus, Saint, 303-373|~|John Chrysostom, Saint, -407|~|Heraclius, Emperor of the East, approximately 575-641","","","Mimars of SS. Ephraem and John Chrysostom ; Lives of Saints and Martyrdoms including those of SS. Serapion, Mark, Al-Harith of Nagran and Zacharias the Patriarch from the land of Babylon ; An account of the reinstatement of the Cross of the Passion of Our Lord in Jerusalem by Emperor Heraclius","","","","Kamil","","","347 ff.","1200.7 g","codex","174 x 142 x 97.0 mm","Parchment","","","","","","","","","","","text","Theological works|~|Mimars","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 428","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 452","Lives of Saints ; Mimars","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1zs4f63","Work","","","","1201/1300","","13th c.","","John Chrysostom, Saint, -407|~|Ephraem, Syrus, Saint, 303-373|~|Isaac, Bishop of Nineveh, active 7th century","","","Mimars by SS. John Chrysostom, Isaac, Ephraem and Maximus ; Lives of Saints-namely: SS. Thomas, Marina and Paiesus","","","","Kamil","","","240 ff.","600.1 g","codex","166 x 122 x 67.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Mimars","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 452","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 46","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1np3p4w","Work","Psalter and Odes","Bible. Psalms|~|Bible. Odes|~|Psalter","","1201/1300","","13th c.","","","","","","","","","Kamil","","","216 ff.","776.2 g","codex","166 x 144 x 82.0 mm","Paper","f.206 written as f.106 ; f.212 written as f.112","","","decorative elements: 1v ","","","","","","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 46","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 461","Martyrdoms and Mimars","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1v13pjk","Work","","","","901/1000","","10th c.","","","","","Erased text f. 25av, 25br ; suspected palimpsest 25av","","","","Kamil","","","117 ff.","789.6 g","codex","215 x 179 x 67.0 mm","Parchment","","","","","","","","","","f. 26, 31 sewn together","text","Historical works|~|Hagiographies","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 461","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 490","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1qc1n64","Work","The Great Pandectes by St. Nicon","Nikon of the Black Mountain, ca. 1025-ca. 1100. Pandektēs","","1201/1300","","13th c.","","","","","Contains only chapters 39 to 63","","","","Kamil","","","491 ff.","3183.4 g","codex","278 x 190 x 113.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 490","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 500","Varia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1km0wkr","Work","","","","1101/1300","","12th c.","","","","","Pastoral Epistles followed by books of Jeremiah and the Proverbs of King Salomon ; Arabic text of Proverbs collated in margin with the Coptic version","","","","Kamil","","","292 ff.","715.6 g","codex","185 x 140 x 70.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 500","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 512","Martyrdoms and Lives of Saints","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1fv04sh","Work","","","","1259","","1259","","","","","Prayers ; Martyrdom of SS. Peter and Paul ; Story of Mary the Egyptian ; Martyrdom of St. Shmonith and her seven daughters ; Martyrdom of SS. Sergius and Bacchus","","","","Kamil","","","231 ff.","498.3 g","codex","144 x 116 x 77.0 mm","Paper","","","","","","","","","Dated","","text","Historical works|~|Martyrologies","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 512","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 513","Martyrdoms and Lives of Saints ; Mimars","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1b29d02","Work","","","","901/1000","","10th c.","","","","","Ancient Codex containing twenty-one miscellaneous treatises which may be classified as follows: 1 - Life of the Prophet Elijah. 2 - Martyrdoms and Lives of SS. Theodore the Leader of Battalions, Thecla who became St. Paul’s pupil, Irene, Eustace and his wife and sons, Sergius andBacchus, Barbara, Pelagia, and Anthony the Damascene ; Mimars and Homilies by SS. John Chrysostom, Gregory, Ephraem, Athanasius, and Jacob the Pious ; Exodus and Book of Daniel ; Book of the Master and the Pupil: a series of ten problems put forward by Ibrahim to his uncle St. Ephraem","","","","Kamil","","","390 ff.","853.4 g","codex","237 x 169 x 64.0 mm","Paper","","","","","","","","","","","text","Historical works|~|Hagiographies","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 513","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 52","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1hx2xb8","Work","Psalter and Odes","Bible. Psalms|~|Psalter","","1101/1200","","12th c.","","","","","","","","","Kamil","","","242 ff.","566.9 g","codex","157 x 120 x 76.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 52","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 523","Lives of Saints ; Mimars","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1698n7w","Work","","","","1201/1300","","13th c.","","","Epiphanius, Saint, Bishop of Constantia in Cyprus, approximately 310-403|~|John the Baptist","","Mimar on John Baptist ; The story of the forty martyrs of Sebastia ; Nativity of Our Lady and of Jesus by the Apostle Jacob ; Account of St. Asia the Miracle-Maker ; Life of St. George ; Life of St. Epiphanius Bishop of Cyprus","","","","Kamil","","","141 ff.","514.4 g","codex","168 x 138 x 56.0 mm","Paper","","","","","","","","","","","text","Historical works|~|Hagiographies","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 523","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 530","Martyrdoms and Lives of Saints","","paged","ark:/21198/z1bk2gmg","ark:/21198/z12j7wh5","Work","","","","1233","","1233","","","","","Lives of Saints John Theologus ; John of Dailam and his miracles in Mosul during the reign of the Omaiyads, and Maximus and Dometius the children of King Leontius ; Martyrdom of Qāyātīs, the woman-slave of King Costa of Alexandria, of Aurāūs and his seven relatives in Egypt, and of Cornelius the Centurion, the first of the Romans to embrace Christianity","","","","Kamil","","","421 ff.","1437.3 g","codex","173 x 148 x 115.0 mm","Paper","","","","","","","","","Dated","","text","Historical works|~|Hagiographies","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 530","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 554","Paradise of the Fathers","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1xs7d4m","Work","","","","1259","","1259","","","","","","","","","Kamil","","","314 ff.","642.9 g","codex","149 x 106 x 84.0 mm","Paper","","","","","","","","","Dated","","text","Historical works|~|Hagiographies","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 554","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 556","Seven miscellaneous treatises","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1t45bth","Work","","","","1101/1200","","12th c.","","","","","Seven miscellaneous treatises: 1 - Debate between a monk and a Moslem prince. Beginning lost. 2 - Three Lives of SS. Jacob the Persian, Paul the Priest, and Barbara. 3 - Book of the Nativity of Our Lady, and mother on Her Dormition. 4 - Discourse by St. John Chrysostom on the rich and the poor","","","","Kamil","","","184 ff.","368.5 g","codex","155 x 139 x 65.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 556","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 56","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1d525m7","Work","Psalter and Horologion","Bible. Psalms|~|Horologion|~|Psalter","","1401/1500","","15th c.","","","","","","","","","Kamil","","","153 ff.","240.1 g","codex","153 x 133 x 33.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 56","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 568","Paradise of the Fathers ; Teaching of St. Basil","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1pc4m53","Work","","","","1201/1300","","13th c.","","","","","","","","","Kamil","","","248 ff.","614.8 g","codex","141 x 118 x 82.0 mm","Paper","","","","","","","","","","","text","Historical works|~|Hagiographies","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 568","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 571","Paradise of the Fathers","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1jm3vdx","Work","","","","1201/1300","","13th c.","","","","","Includes treatise containing problems submitted by older hermits to St. Simeon Stylite","","","","Kamil","","","223 ff.","1495.7 g","codex","269 x 220 x 53.0 mm","Paper","","","","","","","","","","","text","Historical works|~|Hagiographies","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 571","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 59","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z18d1dxz","Work","Psalter and Odes","Bible. Psalms|~|Bible. Odes|~|Psalter","","1656","","1656","","","","","","","","","Kamil","","","166 ff.","445.8 g","codex","156 x 115 x 52.0 mm","Paper","","","","","","","","","Dated","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 59","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 623","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1dv33k7","Work","","Bible. Psalms|~|Psalter","","1201/1300","","13th c.","","","","","Psalms with Kathismata inserted in text","","","","Kamil","","","125 ff.","192 g","codex","149 x 110 x 30.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 623","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 677","Canons of Pope Clement ; Canons of the Oecumenical Councils","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1932bvt","Work","","","","1201/1300","","13th c.","","","","","Canons of Pope Clement together with some of the Canons of the Oecumenical Councils beginning with the second Council convened at Constantinople","","","","Kamil","","","85 ff.","380.3 g","codex","212 x 156 x 31.0 mm","Paper","","","","","","","","","","","text","Canon law","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 677","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Arabic 73","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z14n0p90","Work","Epistles of St. Paul, divided according to the Greek Calendar","Bible. Epistles of Paul","","801/900","","9th c.","","","","","Beginning Romans VI, 20, ending 2 Timothy III, 8 ;Palimpsest pastedowns (undertext majuscule Greek)","","","","Kamil","","","96 ff.","403.9 g","codex","160 x 131 x 48.0 mm","Parchment","","","","","","","","","","","text","Biblical texts","ara","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 73","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 11","Four Gospels (Pshitta)","","paged","ark:/21198/z1bk2gmg","ark:/21198/z11k0vjk","Work","","Bible. Gospels","","801/900","","9th c.","","","","","","","","","Kamil","","","126 ff.","1181.6 g","codex","245 x 167 x 71.0 mm","Parchment","","","","","","","","","","","text","Biblical texts|~|Gospel books","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 11","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 141","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1md0hps","Work","","Heirmologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","200 ff.","542.2 g","codex","170 x 117 x 56.0 mm","Parchment","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 141","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 150","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1gm9rzh","Work","","Horologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","91 ff.","529.7 g","codex","165 x 136 x 51.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 150","Sinai. Old Collection","","0","","delivery 6.2"
